genes	ranking	Gene.name.x	genes2	Final.CANDIDATES 1
ENSMUSG00000048834	706	Vstm2a	VSTM2A	AXON CONTRAS
ENSMUSG00000106385	707	Gm42943	GM42943	AXON CONTRAS
ENSMUSG00000024330	708	Col11a2	COL11A2	AXON CONTRAS
ENSMUSG00000108802	709	Gm44769	GM44769	AXON CONTRAS
ENSMUSG00000045813	710	Gm9801	GM9801	AXON CONTRAS
ENSMUSG00000021719	711	Rgs7bp	RGS7BP	AXON CONTRAS
ENSMUSG00000037972	712	Snn	SNN	AXON CONTRAS
ENSMUSG00000053552	713	Ebf4	EBF4	AXON CONTRAS
ENSMUSG00000030549	714	Rhcg	RHCG	AXON CONTRAS
ENSMUSG00000060212	715	Pcnx2	PCNX2	AXON CONTRAS
ENSMUSG00000026941	716	Mamdc4	MAMDC4	AXON CONTRAS
ENSMUSG00000004317	717	Clcn5	CLCN5	AXON CONTRAS
ENSMUSG00000037579	718	Kcnh3	KCNH3	AXON CONTRAS
ENSMUSG00000050138	719	Kcnk12	KCNK12	AXON CONTRAS
ENSMUSG00000032462	720	Pik3cb	PIK3CB	AXON CONTRAS
ENSMUSG00000040584	721	Abcb1a	ABCB1A	AXON CONTRAS
ENSMUSG00000030790	722	Adm	ADM	AXON CONTRAS
ENSMUSG00000059854	723	Hydin	HYDIN	AXON CONTRAS
ENSMUSG00000102568	724	Gm37040	GM37040	AXON CONTRAS
ENSMUSG00000080873	725	Rpl30-ps3	RPL30-PS3	AXON CONTRAS
ENSMUSG00000086612	726	Gm12064	GM12064	AXON CONTRAS
ENSMUSG00000104415	727	Gm37069	GM37069	AXON CONTRAS
ENSMUSG00000049184	728	Purg	PURG	AXON CONTRAS
ENSMUSG00000037337	729	Map4k1	MAP4K1	AXON CONTRAS
ENSMUSG00000004565	730	Pnpla6	PNPLA6	AXON CONTRAS
ENSMUSG00000108053	731	Gm43890	GM43890	AXON CONTRAS
ENSMUSG00000085024	732	C230035I16Rik	C230035I16RIK	AXON CONTRAS
ENSMUSG00000072972	733	Adam4	ADAM4	AXON CONTRAS
ENSMUSG00000027820	734	Mme	MME	AXON CONTRAS
ENSMUSG00000036422	735	Pcdh8	PCDH8	AXON CONTRAS
ENSMUSG00000081264	736	Gm14021	GM14021	AXON CONTRAS
ENSMUSG00000055629	737	B4galnt4	B4GALNT4	AXON CONTRAS
ENSMUSG00000047180	738	Neurl3	NEURL3	AXON CONTRAS
ENSMUSG00000086166	739	Gm14342	GM14342	AXON CONTRAS
ENSMUSG00000085884	740	Gm15342	GM15342	AXON CONTRAS
