genes	ranking	Gene.name.x	genes2	Final.CANDIDATES 1
ENSMUSG00000024420	994	Zfp521	ZFP521	AXON CONTRAS
ENSMUSG00000002799	995	Jag2	JAG2	AXON CONTRAS
ENSMUSG00000005102	996	Eif2ak4	EIF2AK4	AXON CONTRAS
ENSMUSG00000038256	997	Bcl9	BCL9	AXON CONTRAS
ENSMUSG00000090207	998	4930524O07Rik	4930524O07RIK	AXON CONTRAS
ENSMUSG00000011257	999	Pabpc4	PABPC4	AXON CONTRAS
ENSMUSG00000100632	1000	9430060I03Rik	9430060I03RIK	AXON CONTRAS
ENSMUSG00000105677	1001	Gm43328	GM43328	AXON CONTRAS
ENSMUSG00000033788	1002	Dysf	DYSF	AXON CONTRAS
ENSMUSG00000087855	1003	Mir432	MIR432	AXON CONTRAS
ENSMUSG00000015476	1004	Prrt1	PRRT1	AXON CONTRAS
ENSMUSG00000092182	1005	Gm20407	GM20407	AXON CONTRAS
ENSMUSG00000026836	1006	Acvr1	ACVR1	AXON CONTRAS
ENSMUSG00000035649	1007	Zcchc7	ZCCHC7	AXON CONTRAS
ENSMUSG00000020716	1008	Nf1	NF1	AXON CONTRAS
ENSMUSG00000105717	1009	Gm43465	GM43465	AXON CONTRAS
ENSMUSG00000087528	1010	9830144P21Rik	9830144P21RIK	AXON CONTRAS
ENSMUSG00000089940	1011	Gm4117	GM4117	AXON CONTRAS
ENSMUSG00000048406	1012	B330016D10Rik	B330016D10RIK	AXON CONTRAS
ENSMUSG00000003134	1013	Tbc1d8	TBC1D8	AXON CONTRAS
ENSMUSG00000020821	1014	Kif1c	KIF1C	AXON CONTRAS
ENSMUSG00000096083	1015	Gm10428	GM10428	AXON CONTRAS
ENSMUSG00000107812	1016	Gm43935	GM43935	AXON CONTRAS
ENSMUSG00000036528	1017	Ppfibp2	PPFIBP2	AXON CONTRAS
ENSMUSG00000028414	1018	Fktn	FKTN	AXON CONTRAS
ENSMUSG00000102737	1019	1700016A09Rik	1700016A09RIK	AXON CONTRAS
ENSMUSG00000028919	1020	Arhgef19	ARHGEF19	AXON CONTRAS
ENSMUSG00000036197	1021	Gxylt1	GXYLT1	AXON CONTRAS
ENSMUSG00000099137	1022	Gm10603	GM10603	AXON CONTRAS
ENSMUSG00000039988	1023	Ankrd13c	ANKRD13C	AXON CONTRAS
ENSMUSG00000055897	1024	Ppp4r1l-ps	PPP4R1L-PS	AXON CONTRAS
ENSMUSG00000027611	1025	Procr	PROCR	AXON CONTRAS
ENSMUSG00000097664	1026	NA	NA	AXON CONTRAS
ENSMUSG00000108035	1027	Gm44021	GM44021	AXON CONTRAS
ENSMUSG00000072770	1028	Acrbp	ACRBP	AXON CONTRAS
ENSMUSG00000004113	1029	Cacna1b	CACNA1B	AXON CONTRAS
ENSMUSG00000038708	1030	Golga4	GOLGA4	AXON CONTRAS
ENSMUSG00000034112	1031	Atp2c2	ATP2C2	AXON CONTRAS
ENSMUSG00000022440	1032	C1qtnf6	C1QTNF6	AXON CONTRAS
ENSMUSG00000036459	1033	Wtip	WTIP	AXON CONTRAS
ENSMUSG00000086268	1034	Gm11670	GM11670	AXON CONTRAS
ENSMUSG00000072731	1035	Gm16525	GM16525	AXON CONTRAS
ENSMUSG00000055805	1036	Fmnl1	FMNL1	AXON CONTRAS
ENSMUSG00000049100	1037	Pcdh10	PCDH10	AXON CONTRAS
ENSMUSG00000104756	1038	Gm42464	GM42464	AXON CONTRAS
ENSMUSG00000001750	1039	Tcirg1	TCIRG1	AXON CONTRAS
ENSMUSG00000100600	1040	A230077H06Rik	A230077H06RIK	AXON CONTRAS
ENSMUSG00000106525	1041	Gm42695	GM42695	AXON CONTRAS
ENSMUSG00000052085	1042	Dock8	DOCK8	AXON CONTRAS
ENSMUSG00000024182	1043	Axin1	AXIN1	AXON CONTRAS
ENSMUSG00000038126	1044	Mphosph9	MPHOSPH9	AXON CONTRAS
ENSMUSG00000035248	1045	Tut7	TUT7	AXON CONTRAS
ENSMUSG00000055541	1046	Lair1	LAIR1	AXON CONTRAS
ENSMUSG00000029616	1047	Erp29	ERP29	AXON CONTRAS
ENSMUSG00000022906	1048	Parp9	PARP9	AXON CONTRAS
ENSMUSG00000035778	1049	Ggta1	GGTA1	AXON CONTRAS
ENSMUSG00000023066	1050	Rttn	RTTN	AXON CONTRAS
ENSMUSG00000026565	1051	Pou2f1	POU2F1	AXON CONTRAS
ENSMUSG00000078716	1052	Tmem8b	TMEM8B	AXON CONTRAS
ENSMUSG00000025728	1053	Pigq	PIGQ	AXON CONTRAS
ENSMUSG00000024749	1054	Tmc1	TMC1	AXON CONTRAS
ENSMUSG00000099907	1055	Gm10421	GM10421	AXON CONTRAS
ENSMUSG00000039753	1056	Fbxl5	FBXL5	AXON CONTRAS
ENSMUSG00000005621	1057	Zfp592	ZFP592	AXON CONTRAS
ENSMUSG00000096696	1058	Zfp960	ZFP960	AXON CONTRAS
ENSMUSG00000086090	1059	Gm12531	GM12531	AXON CONTRAS
ENSMUSG00000048142	1060	Nat8l	NAT8L	AXON CONTRAS
ENSMUSG00000046718	1061	Bst2	BST2	AXON CONTRAS
ENSMUSG00000039257	1062	Vstm2b	VSTM2B	AXON CONTRAS
ENSMUSG00000048581	1063	E130311K13Rik	E130311K13RIK	AXON CONTRAS
ENSMUSG00000057176	1064	Ccdc189	CCDC189	AXON CONTRAS
ENSMUSG00000030276	1065	Ttll3	TTLL3	AXON CONTRAS
ENSMUSG00000032128	1066	Robo3	ROBO3	AXON CONTRAS
ENSMUSG00000072647	1067	Adam1a	ADAM1A	AXON CONTRAS
ENSMUSG00000078137	1068	Ankrd63	ANKRD63	AXON CONTRAS
ENSMUSG00000099604	1069	Gm6651	GM6651	AXON CONTRAS
ENSMUSG00000097579	1070	NA	NA	AXON CONTRAS
ENSMUSG00000108102	1071	Gm44437	GM44437	AXON CONTRAS
ENSMUSG00000017697	1072	Ada	ADA	AXON CONTRAS
ENSMUSG00000106944	1073	Gm43843	GM43843	AXON CONTRAS
ENSMUSG00000074918	1074	Inafm2	INAFM2	AXON CONTRAS
ENSMUSG00000034168	1075	Irf2bpl	IRF2BPL	AXON CONTRAS
ENSMUSG00000037622	1076	Wdtc1	WDTC1	AXON CONTRAS
ENSMUSG00000087001	1077	Gm15475	GM15475	AXON CONTRAS
ENSMUSG00000029102	1078	Hgfac	HGFAC	AXON CONTRAS
ENSMUSG00000044081	1079	Zfp85os	ZFP85OS	AXON CONTRAS
ENSMUSG00000029072	1080	Tas1r3	TAS1R3	AXON CONTRAS
ENSMUSG00000028128	1081	F3	F3	AXON CONTRAS
ENSMUSG00000005949	1082	Ctns	CTNS	AXON CONTRAS
ENSMUSG00000025413	1083	Ttc4	TTC4	AXON CONTRAS
ENSMUSG00000023007	1084	Prpf40b	PRPF40B	AXON CONTRAS
ENSMUSG00000106237	1085	Gm8066	GM8066	AXON CONTRAS
ENSMUSG00000086421	1086	Gm14091	GM14091	AXON CONTRAS
ENSMUSG00000033478	1087	Fam160b1	FAM160B1	AXON CONTRAS
ENSMUSG00000085093	1088	Gm12737	GM12737	AXON CONTRAS
ENSMUSG00000086040	1089	Wipf3	WIPF3	AXON CONTRAS
ENSMUSG00000064726	1090	Gm25854	GM25854	AXON CONTRAS
ENSMUSG00000056724	1091	Nbeal2	NBEAL2	AXON CONTRAS
ENSMUSG00000038271	1092	Iffo1	IFFO1	AXON CONTRAS
ENSMUSG00000037300	1093	Ttc13	TTC13	AXON CONTRAS
ENSMUSG00000034586	1094	Hid1	HID1	AXON CONTRAS
ENSMUSG00000036893	1095	Ehmt1	EHMT1	AXON CONTRAS
ENSMUSG00000058567	1096	Gm2531	GM2531	AXON CONTRAS
ENSMUSG00000020311	1097	Erlec1	ERLEC1	AXON CONTRAS
ENSMUSG00000077737	1098	Snord72	SNORD72	AXON CONTRAS
ENSMUSG00000078302	1099	Foxd1	FOXD1	AXON CONTRAS
ENSMUSG00000062949	1100	Atp11c	ATP11C	AXON CONTRAS
ENSMUSG00000022220	1101	Adcy4	ADCY4	AXON CONTRAS
ENSMUSG00000093445	1102	Lrch4	LRCH4	AXON CONTRAS
ENSMUSG00000043019	1103	Edem3	EDEM3	AXON CONTRAS
ENSMUSG00000022132	1104	Cldn10	CLDN10	AXON CONTRAS
ENSMUSG00000035407	1105	Kank4	KANK4	AXON CONTRAS
ENSMUSG00000091002	1106	Tcerg1l	TCERG1L	AXON CONTRAS
ENSMUSG00000022475	1107	Hdac7	HDAC7	AXON CONTRAS
ENSMUSG00000105758	1108	Mirlet7e	MIRLET7E	AXON CONTRAS
ENSMUSG00000092799	1109	NA	NA	AXON CONTRAS
ENSMUSG00000029128	1110	Rab28	RAB28	AXON CONTRAS
ENSMUSG00000032913	1111	Lrig2	LRIG2	AXON CONTRAS
ENSMUSG00000106904	1112	Gm43029	GM43029	AXON CONTRAS
ENSMUSG00000056753	1113	C330011M18Rik	C330011M18RIK	AXON CONTRAS
ENSMUSG00000080999	1114	H2ac5-ps	H2AC5-PS	AXON CONTRAS
ENSMUSG00000106595	1115	NA	NA	AXON CONTRAS
ENSMUSG00000086096	1116	Gm12688	GM12688	AXON CONTRAS
ENSMUSG00000103567	1117	Pcdhga5	PCDHGA5	AXON CONTRAS
ENSMUSG00000020892	1118	Aloxe3	ALOXE3	AXON CONTRAS
ENSMUSG00000025355	1119	Mmp19	MMP19	AXON CONTRAS
ENSMUSG00000073197	1120	5730507C01Rik	5730507C01RIK	AXON CONTRAS
ENSMUSG00000037010	1121	Apln	APLN	AXON CONTRAS
ENSMUSG00000042579	1122	4632404H12Rik	4632404H12RIK	AXON CONTRAS
ENSMUSG00000002342	1123	Tmem161a	TMEM161A	AXON CONTRAS
ENSMUSG00000019975	1124	Ikbip	IKBIP	AXON CONTRAS
ENSMUSG00000074037	1125	Mc1r	MC1R	AXON CONTRAS
ENSMUSG00000090707	1126	Gm8237	GM8237	AXON CONTRAS
ENSMUSG00000038836	1127	Agbl3	AGBL3	AXON CONTRAS
ENSMUSG00000030022	1128	Adamts9	ADAMTS9	AXON CONTRAS
ENSMUSG00000027884	1129	Clcc1	CLCC1	AXON CONTRAS
ENSMUSG00000092085	1130	Gm17224	GM17224	AXON CONTRAS
ENSMUSG00000009406	1131	Elk1	ELK1	AXON CONTRAS
ENSMUSG00000102143	1132	Gm38057	GM38057	AXON CONTRAS
ENSMUSG00000039158	1133	Akna	AKNA	AXON CONTRAS
ENSMUSG00000036698	1134	Ago2	AGO2	AXON CONTRAS
ENSMUSG00000035211	1135	Xrra1	XRRA1	AXON CONTRAS
ENSMUSG00000005763	1136	Cd247	CD247	AXON CONTRAS
ENSMUSG00000105878	1137	NA	NA	AXON CONTRAS
ENSMUSG00000097392	1138	Thoc2l	THOC2L	AXON CONTRAS
ENSMUSG00000032118	1139	Fez1	FEZ1	AXON CONTRAS
ENSMUSG00000086052	1140	Gm11802	GM11802	AXON CONTRAS
ENSMUSG00000038406	1141	Scaf1	SCAF1	AXON CONTRAS
ENSMUSG00000103539	1142	Gm37834	GM37834	AXON CONTRAS
ENSMUSG00000028041	1143	Adam15	ADAM15	AXON CONTRAS
ENSMUSG00000070526	1144	Peg12	PEG12	AXON CONTRAS
ENSMUSG00000105950	1145	Gm43679	GM43679	AXON CONTRAS
ENSMUSG00000019892	1146	Lrriq1	LRRIQ1	AXON CONTRAS
ENSMUSG00000045658	1147	Pid1	PID1	AXON CONTRAS
ENSMUSG00000037035	1148	Inhbb	INHBB	AXON CONTRAS
ENSMUSG00000024220	1149	Zfp523	ZFP523	AXON CONTRAS
ENSMUSG00000087111	1150	Gm11399	GM11399	AXON CONTRAS
ENSMUSG00000020461	1151	Clhc1	CLHC1	AXON CONTRAS
ENSMUSG00000052794	1152	1700030K09Rik	1700030K09RIK	AXON CONTRAS
ENSMUSG00000047735	1153	Samd9l	SAMD9L	AXON CONTRAS
ENSMUSG00000102380	1154	Gm38140	GM38140	AXON CONTRAS
ENSMUSG00000031574	1155	Star	STAR	AXON CONTRAS
ENSMUSG00000030337	1156	Vamp1	VAMP1	AXON CONTRAS
ENSMUSG00000000486	1157	Septin1	SEPTIN1	AXON CONTRAS
ENSMUSG00000041740	1158	Rnf10	RNF10	AXON CONTRAS
ENSMUSG00000029629	1159	Phf14	PHF14	AXON CONTRAS
ENSMUSG00000096687	1160	Mfsd4b4	MFSD4B4	AXON CONTRAS
ENSMUSG00000090031	1161	4732440D04Rik	4732440D04RIK	AXON CONTRAS
ENSMUSG00000074749	1162	Kiz	KIZ	AXON CONTRAS
ENSMUSG00000009621	1163	Vav2	VAV2	AXON CONTRAS
ENSMUSG00000097265	1164	Gm26803	GM26803	AXON CONTRAS
ENSMUSG00000021373	1165	Cap2	CAP2	AXON CONTRAS
ENSMUSG00000103009	1166	Gm4430	GM4430	AXON CONTRAS
ENSMUSG00000020863	1167	Luc7l3	LUC7L3	AXON CONTRAS
ENSMUSG00000073982	1168	Rhog	RHOG	AXON CONTRAS
ENSMUSG00000105449	1169	Gm43379	GM43379	AXON CONTRAS
ENSMUSG00000044787	1170	Spata32	SPATA32	AXON CONTRAS
ENSMUSG00000071398	1171	2410004P03Rik	2410004P03RIK	AXON CONTRAS
ENSMUSG00000103159	1172	F830112A20Rik	F830112A20RIK	AXON CONTRAS
ENSMUSG00000042419	1173	Nfkbil1	NFKBIL1	AXON CONTRAS
ENSMUSG00000082779	1174	Gm13162	GM13162	AXON CONTRAS
ENSMUSG00000062593	1175	Gm49339	GM49339	AXON CONTRAS
ENSMUSG00000034795	1176	Ccdc122	CCDC122	AXON CONTRAS
ENSMUSG00000027869	1177	Hsd3b6	HSD3B6	AXON CONTRAS
ENSMUSG00000108574	1178	Gm44981	GM44981	AXON CONTRAS
ENSMUSG00000108655	1179	Gm44949	GM44949	AXON CONTRAS
ENSMUSG00000051037	1180	Zfp455	ZFP455	AXON CONTRAS
ENSMUSG00000097876	1181	Gm16892	GM16892	AXON CONTRAS
ENSMUSG00000086219	1182	Srrm4os	SRRM4OS	AXON CONTRAS
ENSMUSG00000044071	1183	Tafa2	TAFA2	AXON CONTRAS
ENSMUSG00000029862	1184	Clcn1	CLCN1	AXON CONTRAS
ENSMUSG00000086894	1185	Gm15708	GM15708	AXON CONTRAS
ENSMUSG00000086536	1186	Gm12264	GM12264	AXON CONTRAS
ENSMUSG00000081516	1187	Gm12470	GM12470	AXON CONTRAS
ENSMUSG00000085310	1188	Gm11491	GM11491	AXON CONTRAS
ENSMUSG00000073236	1189	2500004C02Rik	2500004C02RIK	AXON CONTRAS
ENSMUSG00000106834	1190	Gm10459	GM10459	AXON CONTRAS
ENSMUSG00000106375	1191	Gm43361	GM43361	AXON CONTRAS
ENSMUSG00000090761	1192	Gm17201	GM17201	AXON CONTRAS
ENSMUSG00000085609	1193	1700016P03Rik	1700016P03RIK	AXON CONTRAS
ENSMUSG00000086836	1194	Gm13748	GM13748	AXON CONTRAS
ENSMUSG00000084799	1195	Ino80dos	INO80DOS	AXON CONTRAS
ENSMUSG00000029622	1196	Arpc1b	ARPC1B	AXON CONTRAS
ENSMUSG00000087141	1197	Plcxd2	PLCXD2	AXON CONTRAS
ENSMUSG00000085271	1198	E130006D01Rik	E130006D01RIK	AXON CONTRAS
