	genes	ranking	Gene.name.x	genes2	Final.CANDIDATES	X1	GENEBIOTYPE	SYMBOL	GENENAME
156	ENSMUSG00000006307	156	Kmt2b	KMT2B	AXON	CONTRAS	protein_coding	Kmt2b	Kmt2b
157	ENSMUSG00000016624	157	Phf21b	PHF21B	AXON	CONTRAS	protein_coding	Phf21b	Phf21b
158	ENSMUSG00000043668	158	Tox3	TOX3	AXON	CONTRAS	protein_coding	Tox3	Tox3
159	ENSMUSG00000038056	159	Kmt2c	KMT2C	AXON	CONTRAS	protein_coding	Kmt2c	Kmt2c
160	ENSMUSG00000061028	160	Clasrp	CLASRP	AXON	CONTRAS	protein_coding	Clasrp	Clasrp
161	ENSMUSG00000033253	161	Szt2	SZT2	AXON	CONTRAS	protein_coding	Szt2	Szt2
162	ENSMUSG00000040363	162	Bcor	BCOR	AXON	CONTRAS	protein_coding	Bcor	Bcor
163	ENSMUSG00000102194	163	Gm38169	GM38169	AXON	CONTRAS	TEC	RP23-204N23.3	RP23-204N23.3
164	ENSMUSG00000035545	164	Leng8	LENG8	AXON	CONTRAS	protein_coding	Leng8	Leng8
165	ENSMUSG00000037791	165	Phf12	PHF12	AXON	CONTRAS	protein_coding	Phf12	Phf12
166	ENSMUSG00000038241	166	Cep250	CEP250	AXON	CONTRAS	protein_coding	Cep250	Cep250
167	ENSMUSG00000025867	167	Cplx2	CPLX2	AXON	CONTRAS	protein_coding	Cplx2	Cplx2
168	ENSMUSG00000024393	168	Prrc2a	PRRC2A	AXON	CONTRAS	protein_coding	Prrc2a	Prrc2a
169	ENSMUSG00000021068	169	Nin	NIN	AXON	CONTRAS	protein_coding	Nin	Nin
170	ENSMUSG00000102516	170	Gm38340	GM38340	AXON	CONTRAS	TEC	RP24-142E6.4	RP24-142E6.4
171	ENSMUSG00000106254	171	Gm42907	GM42907	AXON	CONTRAS	NA	NA	NA
172	ENSMUSG00000107000	172	Gm43481	GM43481	AXON	CONTRAS	NA	NA	NA
173	ENSMUSG00000086714	173	0610009E02Rik	0610009E02RIK	AXON	CONTRAS	processed_transcript	0610009E02Rik	0610009E02Rik
174	ENSMUSG00000028799	174	Zfp362	ZFP362	AXON	CONTRAS	protein_coding	Zfp362	Zfp362
175	ENSMUSG00000103992	175	Gm38029	GM38029	AXON	CONTRAS	TEC	RP24-211P23.2	RP24-211P23.2
176	ENSMUSG00000054135	176	A430110L20Rik	A430110L20RIK	AXON	CONTRAS	lincRNA	A430110L20Rik	A430110L20Rik
177	ENSMUSG00000057522	177	Spop	SPOP	AXON	CONTRAS	protein_coding	Spop	Spop
178	ENSMUSG00000085767	178	Gm13563	GM13563	AXON	CONTRAS	antisense	Gm13563	Gm13563
179	ENSMUSG00000026927	179	Entr1	ENTR1	AXON	CONTRAS	protein_coding	Sdccag3	Sdccag3
180	ENSMUSG00000038146	180	Notch3	NOTCH3	AXON	CONTRAS	protein_coding	Notch3	Notch3
181	ENSMUSG00000030655	181	Smg1	SMG1	AXON	CONTRAS	protein_coding	Smg1	Smg1
182	ENSMUSG00000102282	182	A930032L01Rik	A930032L01RIK	AXON	CONTRAS	TEC	RP24-70J8.1	RP24-70J8.1
183	ENSMUSG00000098973	183	Mir6236	MIR6236	AXON	CONTRAS	miRNA	Mir6236	Mir6236
184	ENSMUSG00000039741	184	Bahcc1	BAHCC1	AXON	CONTRAS	protein_coding	Bahcc1	Bahcc1
185	ENSMUSG00000034610	185	Tut4	TUT4	AXON	CONTRAS	protein_coding	Zcchc11	Zcchc11
186	ENSMUSG00000064043	186	Trerf1	TRERF1	AXON	CONTRAS	processed_transcript	Trerf1	Trerf1
187	ENSMUSG00000079659	187	Tmem243	TMEM243	AXON	CONTRAS	protein_coding	Tmem243	Tmem243
188	ENSMUSG00000042448	188	Hoxd1	HOXD1	AXON	CONTRAS	protein_coding	Hoxd1	Hoxd1
189	ENSMUSG00000043940	189	Wdfy3	WDFY3	AXON	CONTRAS	protein_coding	Wdfy3	Wdfy3
190	ENSMUSG00000052415	190	Tchh	TCHH	AXON	CONTRAS	protein_coding	Tchh	Tchh
191	ENSMUSG00000104969	191	Gm43445	GM43445	AXON	CONTRAS	NA	NA	NA
192	ENSMUSG00000048271	192	Rbm33	RBM33	AXON	CONTRAS	protein_coding	Rbm33	Rbm33
193	ENSMUSG00000056763	193	Cspp1	CSPP1	AXON	CONTRAS	protein_coding	Cspp1	Cspp1
194	ENSMUSG00000103706	194	6820402A03Rik	6820402A03RIK	AXON	CONTRAS	TEC	RP24-429G21.2	RP24-429G21.2
195	ENSMUSG00000102258	195	Gm38257	GM38257	AXON	CONTRAS	TEC	RP23-379F6.3	RP23-379F6.3
196	ENSMUSG00000046169	196	Adamts6	ADAMTS6	AXON	CONTRAS	protein_coding	Adamts6	Adamts6
197	ENSMUSG00000079491	197	H2-T10	H2-T10	AXON	CONTRAS	polymorphic_pseudogene	H2-T10	H2-T10
198	ENSMUSG00000104516	198	Gm9884	GM9884	AXON	CONTRAS	TEC	RP23-184I13.1	RP23-184I13.1
199	ENSMUSG00000097589	199	Dleu2	DLEU2	AXON	CONTRAS	processed_transcript	Dleu2	Dleu2
200	ENSMUSG00000041064	200	Pif1	PIF1	AXON	CONTRAS	protein_coding	Pif1	Pif1
201	ENSMUSG00000029516	201	Cit	CIT	AXON	CONTRAS	protein_coding	Cit	Cit
202	ENSMUSG00000052707	202	Tnrc6a	TNRC6A	AXON	CONTRAS	protein_coding	Tnrc6a	Tnrc6a
203	ENSMUSG00000105137	203	Gm42869	GM42869	AXON	CONTRAS	NA	NA	NA
204	ENSMUSG00000023473	204	Celsr3	CELSR3	AXON	CONTRAS	protein_coding	Celsr3	Celsr3
205	ENSMUSG00000009741	205	Ubp1	UBP1	AXON	CONTRAS	protein_coding	Ubp1	Ubp1
206	ENSMUSG00000042625	206	Safb2	SAFB2	AXON	CONTRAS	protein_coding	Safb2	Safb2
207	ENSMUSG00000097446	207	Gm26629	GM26629	AXON	CONTRAS	lincRNA	Gm26629	Gm26629
208	ENSMUSG00000032637	208	Atxn2l	ATXN2L	AXON	CONTRAS	protein_coding	Atxn2l	Atxn2l
209	ENSMUSG00000097430	209	Gm10544	GM10544	AXON	CONTRAS	lincRNA	Gm10544	Gm10544
210	ENSMUSG00000104325	210	Gm37321	GM37321	AXON	CONTRAS	TEC	RP23-392C14.1	RP23-392C14.1
211	ENSMUSG00000037552	211	Plekhg2	PLEKHG2	AXON	CONTRAS	protein_coding	Plekhg2	Plekhg2
212	ENSMUSG00000074619	212	1700034I23Rik	1700034I23RIK	AXON	CONTRAS	protein_coding	1700034I23Rik	1700034I23Rik
213	ENSMUSG00000005442	213	Cic	CIC	AXON	CONTRAS	protein_coding	Cic	Cic
214	ENSMUSG00000030664	214	Sox6os	SOX6OS	AXON	CONTRAS	antisense	Sox6os	Sox6os
215	ENSMUSG00000104010	215	Gm37366	GM37366	AXON	CONTRAS	TEC	RP23-82P18.3	RP23-82P18.3
216	ENSMUSG00000040524	216	Zfp609	ZFP609	AXON	CONTRAS	protein_coding	Zfp609	Zfp609
217	ENSMUSG00000097857	217	NA	NA	AXON	CONTRAS	lincRNA	Gm26603	Gm26603
218	ENSMUSG00000064368	218	mt-Nd6	MT-ND6	AXON	CONTRAS	protein_coding	mt-Nd6	mt-Nd6
219	ENSMUSG00000037400	219	Atp11b	ATP11B	AXON	CONTRAS	protein_coding	Atp11b	Atp11b
220	ENSMUSG00000063447	220	Ube2d2b	UBE2D2B	AXON	CONTRAS	protein_coding	Ube2d2b	Ube2d2b
221	ENSMUSG00000104118	221	Gm37298	GM37298	AXON	CONTRAS	TEC	RP23-393I12.1	RP23-393I12.1
222	ENSMUSG00000000600	222	Krit1	KRIT1	AXON	CONTRAS	protein_coding	Krit1	Krit1
223	ENSMUSG00000102496	223	Gm36989	GM36989	AXON	CONTRAS	TEC	RP23-461O23.2	RP23-461O23.2
224	ENSMUSG00000047854	224	Stx19	STX19	AXON	CONTRAS	protein_coding	Stx19	Stx19
225	ENSMUSG00000096736	225	Gm17535	GM17535	AXON	CONTRAS	protein_coding	Gm17535	Gm17535
226	ENSMUSG00000029478	226	Ncor2	NCOR2	AXON	CONTRAS	protein_coding	Ncor2	Ncor2
227	ENSMUSG00000027365	227	Trpm7	TRPM7	AXON	CONTRAS	protein_coding	Trpm7	Trpm7
228	ENSMUSG00000040229	228	Gpr34	GPR34	AXON	CONTRAS	protein_coding	Gpr34	Gpr34
229	ENSMUSG00000101348	229	Gm7135	GM7135	AXON	CONTRAS	transcribed_unprocessed_pseudogene	Gm7135	Gm7135
230	ENSMUSG00000085715	230	Tsix	TSIX	AXON	CONTRAS	antisense	Tsix	Tsix
231	ENSMUSG00000040738	231	Ints8	INTS8	AXON	CONTRAS	protein_coding	Ints8	Ints8
232	ENSMUSG00000035164	232	Zc3h12c	ZC3H12C	AXON	CONTRAS	protein_coding	Zc3h12c	Zc3h12c
233	ENSMUSG00000029510	233	Gpc2	GPC2	AXON	CONTRAS	protein_coding	Gpc2	Gpc2
234	ENSMUSG00000068267	234	Cenpb	CENPB	AXON	CONTRAS	protein_coding	Cenpb	Cenpb
235	ENSMUSG00000042605	235	Atxn2	ATXN2	AXON	CONTRAS	protein_coding	Atxn2	Atxn2
236	ENSMUSG00000103507	236	Gm38375	GM38375	AXON	CONTRAS	TEC	RP23-269E5.10	RP23-269E5.10
237	ENSMUSG00000078502	237	Zfp268	ZFP268	AXON	CONTRAS	protein_coding	Gm13212	Gm13212
238	ENSMUSG00000022803	238	Popdc2	POPDC2	AXON	CONTRAS	protein_coding	Popdc2	Popdc2
239	ENSMUSG00000063511	239	Snrnp70	SNRNP70	AXON	CONTRAS	protein_coding	Snrnp70	Snrnp70
240	ENSMUSG00000052488	240	Cherp	CHERP	AXON	CONTRAS	protein_coding	Cherp	Cherp
241	ENSMUSG00000078491	241	Gm13090	GM13090	AXON	CONTRAS	protein_coding	Gm13090	Gm13090
242	ENSMUSG00000104132	242	Gm36952	GM36952	AXON	CONTRAS	TEC	RP23-184I13.5	RP23-184I13.5
243	ENSMUSG00000022521	243	Crebbp	CREBBP	AXON	CONTRAS	protein_coding	Crebbp	Crebbp
244	ENSMUSG00000055415	244	Atp10b	ATP10B	AXON	CONTRAS	protein_coding	Atp10b	Atp10b
245	ENSMUSG00000024045	245	Akap8	AKAP8	AXON	CONTRAS	protein_coding	Akap8	Akap8
246	ENSMUSG00000030562	246	Nox4	NOX4	AXON	CONTRAS	protein_coding	Nox4	Nox4
247	ENSMUSG00000095547	247	Gm10719	GM10719	AXON	CONTRAS	protein_coding	Gm10719	Gm10719
248	ENSMUSG00000024565	248	Sall3	SALL3	AXON	CONTRAS	protein_coding	Sall3	Sall3
249	ENSMUSG00000045962	249	Wnk1	WNK1	AXON	CONTRAS	protein_coding	Wnk1	Wnk1
250	ENSMUSG00000108489	250	Gm45025	GM45025	AXON	CONTRAS	NA	NA	NA
251	ENSMUSG00000073144	251	4930599N23Rik	4930599N23RIK	AXON	CONTRAS	antisense	4930599N23Rik	4930599N23Rik
252	ENSMUSG00000041258	252	Zfp236	ZFP236	AXON	CONTRAS	protein_coding	Zfp236	Zfp236
253	ENSMUSG00000056211	253	R3hdm1	R3HDM1	AXON	CONTRAS	protein_coding	R3hdm1	R3hdm1
254	ENSMUSG00000037416	254	Dmxl1	DMXL1	AXON	CONTRAS	protein_coding	Dmxl1	Dmxl1
255	ENSMUSG00000098979	255	NA	NA	AXON	CONTRAS	misc_RNA	Gm27544	Gm27544
256	ENSMUSG00000080753	256	Gm15613	GM15613	AXON	CONTRAS	processed_pseudogene	Gm15613	Gm15613
