	genes	ranking	Gene.name.x	genes2	Final.CANDIDATES	X1	GENEBIOTYPE	SYMBOL	GENENAME
331	ENSMUSG00000086373	331	Gm11978	GM11978	AXON	CONTRAS	transcribed_processed_pseudogene	Gm11978	Gm11978
332	ENSMUSG00000044150	332	Bclaf3	BCLAF3	AXON	CONTRAS	protein_coding	A830080D01Rik	A830080D01Rik
333	ENSMUSG00000020740	333	Gga3	GGA3	AXON	CONTRAS	protein_coding	Gga3	Gga3
334	ENSMUSG00000039834	334	Zfp335	ZFP335	AXON	CONTRAS	protein_coding	Zfp335	Zfp335
335	ENSMUSG00000061436	335	Hipk2	HIPK2	AXON	CONTRAS	protein_coding	Hipk2	Hipk2
336	ENSMUSG00000039117	336	Taf4	TAF4	AXON	CONTRAS	protein_coding	Taf4a	Taf4a
337	ENSMUSG00000040964	337	Arhgef10l	ARHGEF10L	AXON	CONTRAS	protein_coding	Arhgef10l	Arhgef10l
338	ENSMUSG00000024335	338	Brd2	BRD2	AXON	CONTRAS	protein_coding	Brd2	Brd2
339	ENSMUSG00000108365	339	Gm44951	GM44951	AXON	CONTRAS	NA	NA	NA
340	ENSMUSG00000020290	340	Xpo1	XPO1	AXON	CONTRAS	protein_coding	Xpo1	Xpo1
341	ENSMUSG00000104100	341	Gm37880	GM37880	AXON	CONTRAS	TEC	RP23-21P2.8	RP23-21P2.8
342	ENSMUSG00000101970	342	Chaserr	CHASERR	AXON	CONTRAS	processed_transcript	RP23-32A8.1	RP23-32A8.1
343	ENSMUSG00000049658	343	Bdp1	BDP1	AXON	CONTRAS	protein_coding	Bdp1	Bdp1
344	ENSMUSG00000103742	344	Gm38240	GM38240	AXON	CONTRAS	TEC	RP23-50E17.1	RP23-50E17.1
345	ENSMUSG00000035632	345	Cnot3	CNOT3	AXON	CONTRAS	protein_coding	Cnot3	Cnot3
346	ENSMUSG00000068394	346	Cep152	CEP152	AXON	CONTRAS	protein_coding	Cep152	Cep152
347	ENSMUSG00000042784	347	Muc1	MUC1	AXON	CONTRAS	protein_coding	Muc1	Muc1
348	ENSMUSG00000021244	348	Ylpm1	YLPM1	AXON	CONTRAS	protein_coding	Ylpm1	Ylpm1
349	ENSMUSG00000097585	349	E230029C05Rik	E230029C05RIK	AXON	CONTRAS	protein_coding	Gm26529	Gm26529
350	ENSMUSG00000103343	350	Gm37052	GM37052	AXON	CONTRAS	TEC	RP24-188H2.3	RP24-188H2.3
351	ENSMUSG00000024242	351	Map4k3	MAP4K3	AXON	CONTRAS	protein_coding	Map4k3	Map4k3
352	ENSMUSG00000104342	352	Gm36401	GM36401	AXON	CONTRAS	TEC	RP23-7E4.2	RP23-7E4.2
353	ENSMUSG00000035673	353	Sbno2	SBNO2	AXON	CONTRAS	protein_coding	Sbno2	Sbno2
354	ENSMUSG00000052942	354	Glis3	GLIS3	AXON	CONTRAS	protein_coding	Glis3	Glis3
355	ENSMUSG00000108269	355	Gm18422	GM18422	AXON	CONTRAS	NA	NA	NA
356	ENSMUSG00000054453	356	Sytl5	SYTL5	AXON	CONTRAS	protein_coding	Sytl5	Sytl5
357	ENSMUSG00000079555	357	Haus3	HAUS3	AXON	CONTRAS	protein_coding	Haus3	Haus3
358	ENSMUSG00000029823	358	Luc7l2	LUC7L2	AXON	CONTRAS	protein_coding	Luc7l2	Luc7l2
359	ENSMUSG00000034317	359	Trim59	TRIM59	AXON	CONTRAS	protein_coding	Trim59	Trim59
360	ENSMUSG00000053358	360	Gm9905	GM9905	AXON	CONTRAS	protein_coding	Gm9905	Gm9905
361	ENSMUSG00000106651	361	Gm42608	GM42608	AXON	CONTRAS	NA	NA	NA
362	ENSMUSG00000028188	362	Spata1	SPATA1	AXON	CONTRAS	protein_coding	Spata1	Spata1
363	ENSMUSG00000097023	363	Mir9-3hg	MIR9-3HG	AXON	CONTRAS	lincRNA	AI854517	AI854517
364	ENSMUSG00000033737	364	Fndc3c1	FNDC3C1	AXON	CONTRAS	protein_coding	Fndc3c1	Fndc3c1
365	ENSMUSG00000102250	365	Gm38260	GM38260	AXON	CONTRAS	TEC	RP23-478K4.2	RP23-478K4.2
366	ENSMUSG00000002221	366	Paxip1	PAXIP1	AXON	CONTRAS	protein_coding	Paxip1	Paxip1
367	ENSMUSG00000049295	367	Zfp219	ZFP219	AXON	CONTRAS	protein_coding	Zfp219	Zfp219
368	ENSMUSG00000018501	368	Ncor1	NCOR1	AXON	CONTRAS	protein_coding	Ncor1	Ncor1
369	ENSMUSG00000106665	369	Gm43389	GM43389	AXON	CONTRAS	NA	NA	NA
370	ENSMUSG00000090093	370	Gm14399	GM14399	AXON	CONTRAS	protein_coding	Gm14399	Gm14399
371	ENSMUSG00000023484	371	Prph	PRPH	AXON	CONTRAS	protein_coding	Prph	Prph
372	ENSMUSG00000075266	372	Cenpw	CENPW	AXON	CONTRAS	protein_coding	Cenpw	Cenpw
373	ENSMUSG00000043340	373	6530409C15Rik	6530409C15RIK	AXON	CONTRAS	protein_coding	6530409C15Rik	6530409C15Rik
374	ENSMUSG00000105265	374	Sox2ot	SOX2OT	AXON	CONTRAS	NA	NA	NA
375	ENSMUSG00000041362	375	Shtn1	SHTN1	AXON	CONTRAS	protein_coding	4930506M07Rik	4930506M07Rik
376	ENSMUSG00000056972	376	Magel2	MAGEL2	AXON	CONTRAS	protein_coding	Magel2	Magel2
377	ENSMUSG00000050271	377	Prag1	PRAG1	AXON	CONTRAS	protein_coding	D8Ertd82e	D8Ertd82e
378	ENSMUSG00000032363	378	Adamts7	ADAMTS7	AXON	CONTRAS	protein_coding	Adamts7	Adamts7
379	ENSMUSG00000068748	379	Ptprz1	PTPRZ1	AXON	CONTRAS	protein_coding	Ptprz1	Ptprz1
380	ENSMUSG00000004891	380	Nes	NES	AXON	CONTRAS	protein_coding	Nes	Nes
381	ENSMUSG00000062078	381	Qk	QK	AXON	CONTRAS	protein_coding	Qk	Qk
382	ENSMUSG00000021614	382	Vcan	VCAN	AXON	CONTRAS	protein_coding	Vcan	Vcan
383	ENSMUSG00000022272	383	Myo10	MYO10	AXON	CONTRAS	protein_coding	Myo10	Myo10
384	ENSMUSG00000021268	384	Meg3	MEG3	AXON	CONTRAS	lincRNA	Meg3	Meg3
385	ENSMUSG00000084946	385	Dlx1as	DLX1AS	AXON	CONTRAS	antisense	Dlx1as	Dlx1as
386	ENSMUSG00000053166	386	Cdh22	CDH22	AXON	CONTRAS	protein_coding	Cdh22	Cdh22
387	ENSMUSG00000085925	387	Rtl1	RTL1	AXON	CONTRAS	protein_coding	Rtl1	Rtl1
388	ENSMUSG00000009739	388	Pou6f1	POU6F1	AXON	CONTRAS	protein_coding	Pou6f1	Pou6f1
389	ENSMUSG00000041540	389	Sox5	SOX5	AXON	CONTRAS	protein_coding	Sox5	Sox5
390	ENSMUSG00000020902	390	Ntn1	NTN1	AXON	CONTRAS	protein_coding	Ntn1	Ntn1
391	ENSMUSG00000097698	391	NA	NA	AXON	CONTRAS	lincRNA	Gm26906	Gm26906
392	ENSMUSG00000026787	392	Gad2	GAD2	AXON	CONTRAS	protein_coding	Gad2	Gad2
393	ENSMUSG00000060206	393	Zfp462	ZFP462	AXON	CONTRAS	protein_coding	Zfp462	Zfp462
394	ENSMUSG00000030956	394	Fam53b	FAM53B	AXON	CONTRAS	protein_coding	Fam53b	Fam53b
395	ENSMUSG00000102657	395	Gm37899	GM37899	AXON	CONTRAS	TEC	RP23-204I16.3	RP23-204I16.3
396	ENSMUSG00000024998	396	Plce1	PLCE1	AXON	CONTRAS	protein_coding	Plce1	Plce1
397	ENSMUSG00000025571	397	Tnrc6c	TNRC6C	AXON	CONTRAS	protein_coding	Tnrc6c	Tnrc6c
398	ENSMUSG00000034471	398	Caskin2	CASKIN2	AXON	CONTRAS	protein_coding	Caskin2	Caskin2
399	ENSMUSG00000028804	399	Csmd2	CSMD2	AXON	CONTRAS	protein_coding	Csmd2	Csmd2
400	ENSMUSG00000056073	400	Grik2	GRIK2	AXON	CONTRAS	protein_coding	Grik2	Grik2
401	ENSMUSG00000033705	401	Stard9	STARD9	AXON	CONTRAS	protein_coding	Stard9	Stard9
402	ENSMUSG00000031654	402	Cbln1	CBLN1	AXON	CONTRAS	protein_coding	Cbln1	Cbln1
403	ENSMUSG00000070407	403	Hs3st3b1	HS3ST3B1	AXON	CONTRAS	protein_coding	Hs3st3b1	Hs3st3b1
404	ENSMUSG00000102349	404	Gm37376	GM37376	AXON	CONTRAS	TEC	RP24-458F14.4	RP24-458F14.4
405	ENSMUSG00000042564	405	Fam227a	FAM227A	AXON	CONTRAS	protein_coding	Fam227a	Fam227a
406	ENSMUSG00000027831	406	Veph1	VEPH1	AXON	CONTRAS	protein_coding	Veph1	Veph1
407	ENSMUSG00000031665	407	Sall1	SALL1	AXON	CONTRAS	protein_coding	Sall1	Sall1
408	ENSMUSG00000030507	408	Dbx1	DBX1	AXON	CONTRAS	protein_coding	Dbx1	Dbx1
409	ENSMUSG00000097532	409	Gm4349	GM4349	AXON	CONTRAS	lincRNA	Gm4349	Gm4349
410	ENSMUSG00000086591	410	Dnah2os	DNAH2OS	AXON	CONTRAS	antisense	Dnah2os	Dnah2os
411	ENSMUSG00000103632	411	Gm38329	GM38329	AXON	CONTRAS	TEC	RP24-400M20.2	RP24-400M20.2
412	ENSMUSG00000029530	412	Ccr9	CCR9	AXON	CONTRAS	protein_coding	Ccr9	Ccr9
413	ENSMUSG00000064337	413	mt-Rnr1	MT-RNR1	AXON	CONTRAS	Mt_rRNA	mt-Rnr1	mt-Rnr1
414	ENSMUSG00000052133	414	Sema5b	SEMA5B	AXON	CONTRAS	protein_coding	Sema5b	Sema5b
415	ENSMUSG00000070291	415	Ddx43	DDX43	AXON	CONTRAS	protein_coding	Ddx43	Ddx43
416	ENSMUSG00000039410	416	Prdm16	PRDM16	AXON	CONTRAS	protein_coding	Prdm16	Prdm16
417	ENSMUSG00000090226	417	Gm16110	GM16110	AXON	CONTRAS	antisense	Gm16110	Gm16110
418	ENSMUSG00000056078	418	Lipm	LIPM	AXON	CONTRAS	protein_coding	Lipm	Lipm
419	ENSMUSG00000095147	419	NA	NA	AXON	CONTRAS	miRNA	Mir3070a	Mir3070a
420	ENSMUSG00000039676	420	Capsl	CAPSL	AXON	CONTRAS	protein_coding	Capsl	Capsl
421	ENSMUSG00000105097	421	Gm42133	GM42133	AXON	CONTRAS	NA	NA	NA
422	ENSMUSG00000105352	422	C030018K13Rik	C030018K13RIK	AXON	CONTRAS	NA	NA	NA
423	ENSMUSG00000104586	423	4921539H07Rik	4921539H07RIK	AXON	CONTRAS	NA	NA	NA
424	ENSMUSG00000087401	424	Gm14664	GM14664	AXON	CONTRAS	lincRNA	Gm14664	Gm14664
425	ENSMUSG00000090054	425	Gm15629	GM15629	AXON	CONTRAS	antisense	Gm15629	Gm15629
426	ENSMUSG00000088366	426	NA	NA	AXON	CONTRAS	misc_RNA	Gm23496	Gm23496
427	ENSMUSG00000023391	427	Dlx2	DLX2	AXON	CONTRAS	protein_coding	Dlx2	Dlx2
428	ENSMUSG00000086898	428	Itpr3os	ITPR3OS	AXON	CONTRAS	antisense	Itpr3os	Itpr3os
429	ENSMUSG00000096225	429	Lhx8	LHX8	AXON	CONTRAS	protein_coding	Lhx8	Lhx8
430	ENSMUSG00000064585	430	Gm25129	GM25129	AXON	CONTRAS	snoRNA	Gm25129	Gm25129
431	ENSMUSG00000108478	431	Gm19514	GM19514	AXON	CONTRAS	NA	NA	NA
432	ENSMUSG00000068314	432	Gm6899	GM6899	AXON	CONTRAS	protein_coding	Gm6899	Gm6899
433	ENSMUSG00000102854	433	C130023A14Rik	C130023A14RIK	AXON	CONTRAS	TEC	RP24-252G15.5	RP24-252G15.5
434	ENSMUSG00000104033	434	Gm37773	GM37773	AXON	CONTRAS	TEC	RP23-14P23.8	RP23-14P23.8
435	ENSMUSG00000103049	435	Gm37311	GM37311	AXON	CONTRAS	TEC	RP24-252G15.3	RP24-252G15.3
436	ENSMUSG00000034037	436	Fgd5	FGD5	AXON	CONTRAS	protein_coding	Fgd5	Fgd5
437	ENSMUSG00000049804	437	Armcx4	ARMCX4	AXON	CONTRAS	protein_coding	Armcx4	Armcx4
438	ENSMUSG00000039262	438	Prrc2b	PRRC2B	AXON	CONTRAS	protein_coding	Prrc2b	Prrc2b
439	ENSMUSG00000107967	439	Gm44094	GM44094	AXON	CONTRAS	NA	NA	NA
440	ENSMUSG00000104175	440	Gm37700	GM37700	AXON	CONTRAS	TEC	RP23-168G15.1	RP23-168G15.1
441	ENSMUSG00000083183	441	Gm15575	GM15575	AXON	CONTRAS	processed_pseudogene	Gm15575	Gm15575
442	ENSMUSG00000103805	442	Gm37063	GM37063	AXON	CONTRAS	TEC	RP23-239I17.7	RP23-239I17.7
443	ENSMUSG00000024789	443	Jak2	JAK2	AXON	CONTRAS	protein_coding	Jak2	Jak2
444	ENSMUSG00000032198	444	Dock6	DOCK6	AXON	CONTRAS	protein_coding	Dock6	Dock6
445	ENSMUSG00000045515	445	Pou3f3	POU3F3	AXON	CONTRAS	protein_coding	Pou3f3	Pou3f3
446	ENSMUSG00000107595	446	Gm44441	GM44441	AXON	CONTRAS	NA	NA	NA
447	ENSMUSG00000035640	447	Cbarp	CBARP	AXON	CONTRAS	protein_coding	Dos	Dos
448	ENSMUSG00000064367	448	mt-Nd5	MT-ND5	AXON	CONTRAS	protein_coding	mt-Nd5	mt-Nd5
449	ENSMUSG00000070527	449	Mkrn3	MKRN3	AXON	CONTRAS	protein_coding	Mkrn3	Mkrn3
450	ENSMUSG00000024299	450	Adamts10	ADAMTS10	AXON	CONTRAS	protein_coding	Adamts10	Adamts10
451	ENSMUSG00000027676	451	Ccdc39	CCDC39	AXON	CONTRAS	protein_coding	Ccdc39	Ccdc39
452	ENSMUSG00000004665	452	Cnn2	CNN2	AXON	CONTRAS	protein_coding	Cnn2	Cnn2
453	ENSMUSG00000039385	453	Cdh6	CDH6	AXON	CONTRAS	protein_coding	Cdh6	Cdh6
454	ENSMUSG00000027298	454	Tyro3	TYRO3	AXON	CONTRAS	protein_coding	Tyro3	Tyro3
455	ENSMUSG00000058006	455	Mdn1	MDN1	AXON	CONTRAS	protein_coding	Mdn1	Mdn1
456	ENSMUSG00000053846	456	Lipg	LIPG	AXON	CONTRAS	protein_coding	Lipg	Lipg
457	ENSMUSG00000026447	457	Pik3c2b	PIK3C2B	AXON	CONTRAS	protein_coding	Pik3c2b	Pik3c2b
458	ENSMUSG00000027329	458	Spef1	SPEF1	AXON	CONTRAS	protein_coding	Spef1	Spef1
459	ENSMUSG00000097816	459	Gm26811	GM26811	AXON	CONTRAS	lincRNA	Gm26811	Gm26811
460	ENSMUSG00000029917	460	Qrfprl	QRFPRL	AXON	CONTRAS	protein_coding	C130060K24Rik	C130060K24Rik
461	ENSMUSG00000047678	461	Gpr82	GPR82	AXON	CONTRAS	protein_coding	Gpr82	Gpr82
462	ENSMUSG00000089957	462	A830011K09Rik	A830011K09RIK	AXON	CONTRAS	antisense	A830011K09Rik	A830011K09Rik
463	ENSMUSG00000000823	463	Zfp512b	ZFP512B	AXON	CONTRAS	protein_coding	Znf512b	Znf512b
464	ENSMUSG00000037664	464	Cdkn1c	CDKN1C	AXON	CONTRAS	protein_coding	Cdkn1c	Cdkn1c
465	ENSMUSG00000024534	465	Sncaip	SNCAIP	AXON	CONTRAS	protein_coding	Sncaip	Sncaip
466	ENSMUSG00000003378	466	Grik5	GRIK5	AXON	CONTRAS	protein_coding	Grik5	Grik5
467	ENSMUSG00000067786	467	Nnat	NNAT	AXON	CONTRAS	protein_coding	Nnat	Nnat
468	ENSMUSG00000092526	468	Gm17907	GM17907	AXON	CONTRAS	processed_pseudogene	Gm17907	Gm17907
469	ENSMUSG00000016763	469	Scube1	SCUBE1	AXON	CONTRAS	protein_coding	Scube1	Scube1
470	ENSMUSG00000104197	470	Gm37632	GM37632	AXON	CONTRAS	TEC	RP23-44N5.7	RP23-44N5.7
471	ENSMUSG00000034818	471	Celf5	CELF5	AXON	CONTRAS	protein_coding	Celf5	Celf5
472	ENSMUSG00000034480	472	Diaph2	DIAPH2	AXON	CONTRAS	protein_coding	Diap2	Diap2
473	ENSMUSG00000031284	473	Pak3	PAK3	AXON	CONTRAS	protein_coding	Pak3	Pak3
474	ENSMUSG00000084849	474	Gm16105	GM16105	AXON	CONTRAS	antisense	Gm16105	Gm16105
475	ENSMUSG00000102760	475	Gm37258	GM37258	AXON	CONTRAS	TEC	RP23-73N8.1	RP23-73N8.1
476	ENSMUSG00000087660	476	B230398E01Rik	B230398E01RIK	AXON	CONTRAS	antisense	B230398E01Rik	B230398E01Rik
477	ENSMUSG00000091315	477	Gm17214	GM17214	AXON	CONTRAS	processed_pseudogene	Gm17214	Gm17214
478	ENSMUSG00000084911	478	Gm16185	GM16185	AXON	CONTRAS	antisense	Gm16185	Gm16185
479	ENSMUSG00000000530	479	Acvrl1	ACVRL1	AXON	CONTRAS	protein_coding	Acvrl1	Acvrl1
480	ENSMUSG00000038255	480	Neurod2	NEUROD2	AXON	CONTRAS	protein_coding	Neurod2	Neurod2
481	ENSMUSG00000030849	481	Fgfr2	FGFR2	AXON	CONTRAS	protein_coding	Fgfr2	Fgfr2
482	ENSMUSG00000038025	482	Phf2	PHF2	AXON	CONTRAS	protein_coding	Phf2	Phf2
483	ENSMUSG00000049092	483	Gpr137c	GPR137C	AXON	CONTRAS	protein_coding	Gpr137c	Gpr137c
484	ENSMUSG00000024650	484	Slc22a6	SLC22A6	AXON	CONTRAS	protein_coding	Slc22a6	Slc22a6
485	ENSMUSG00000077990	485	NA	NA	AXON	CONTRAS	miRNA	Gm23134	Gm23134
486	ENSMUSG00000027584	486	Oprl1	OPRL1	AXON	CONTRAS	protein_coding	Oprl1	Oprl1
487	ENSMUSG00000027584	487	Oprl1	OPRL1	AXON	CONTRAS	protein_coding	Oprl1	Oprl1
488	ENSMUSG00000103081	488	Pcdhgb8	PCDHGB8	AXON	CONTRAS	polymorphic_pseudogene	Pcdhgb8	Pcdhgb8
489	ENSMUSG00000100826	489	Snhg14	SNHG14	AXON	CONTRAS	processed_transcript	D7Ertd715e	D7Ertd715e
490	ENSMUSG00000003778	490	Brd8	BRD8	AXON	CONTRAS	protein_coding	Brd8	Brd8
491	ENSMUSG00000038704	491	Aspdh	ASPDH	AXON	CONTRAS	protein_coding	Aspdh	Aspdh
492	ENSMUSG00000023008	492	Fmnl3	FMNL3	AXON	CONTRAS	protein_coding	Fmnl3	Fmnl3
493	ENSMUSG00000023008	493	Fmnl3	FMNL3	AXON	CONTRAS	protein_coding	Fmnl3	Fmnl3
494	ENSMUSG00000040183	494	Ankrd6	ANKRD6	AXON	CONTRAS	protein_coding	Ankrd6	Ankrd6
495	ENSMUSG00000045648	495	Vwc2l	VWC2L	AXON	CONTRAS	protein_coding	Vwc2l	Vwc2l
496	ENSMUSG00000097248	496	Gm2694	GM2694	AXON	CONTRAS	lincRNA	Gm2694	Gm2694
497	ENSMUSG00000055430	497	Nap1l5	NAP1L5	AXON	CONTRAS	protein_coding	Nap1l5	Nap1l5
498	ENSMUSG00000043857	498	Mgat5b	MGAT5B	AXON	CONTRAS	protein_coding	Mgat5b	Mgat5b
499	ENSMUSG00000053483	499	Usp21	USP21	AXON	CONTRAS	protein_coding	Usp21	Usp21
500	ENSMUSG00000052212	500	Cd177	CD177	AXON	CONTRAS	protein_coding	Cd177	Cd177
501	ENSMUSG00000002325	501	Irf9	IRF9	AXON	CONTRAS	protein_coding	Irf9	Irf9
502	ENSMUSG00000037795	502	N4bp2	N4BP2	AXON	CONTRAS	protein_coding	N4bp2	N4bp2
503	ENSMUSG00000104156	503	Gm38102	GM38102	AXON	CONTRAS	TEC	RP23-371A16.2	RP23-371A16.2
504	ENSMUSG00000073002	504	Vamp5	VAMP5	AXON	CONTRAS	protein_coding	Vamp5	Vamp5
505	ENSMUSG00000108311	505	Gm44737	GM44737	AXON	CONTRAS	NA	NA	NA
506	ENSMUSG00000107570	506	Gm44207	GM44207	AXON	CONTRAS	NA	NA	NA
507	ENSMUSG00000047003	507	Zfp41	ZFP41	AXON	CONTRAS	protein_coding	Zfp41	Zfp41
508	ENSMUSG00000104814	508	Gm42979	GM42979	AXON	CONTRAS	NA	NA	NA
509	ENSMUSG00000028496	509	Mllt3	MLLT3	AXON	CONTRAS	protein_coding	Mllt3	Mllt3
510	ENSMUSG00000024948	510	Map4k2	MAP4K2	AXON	CONTRAS	protein_coding	Map4k2	Map4k2
511	ENSMUSG00000097330	511	Gm26672	GM26672	AXON	CONTRAS	lincRNA	Gm26672	Gm26672
512	ENSMUSG00000041096	512	Tspyl2	TSPYL2	AXON	CONTRAS	protein_coding	Tspyl2	Tspyl2
513	ENSMUSG00000014773	513	Dll1	DLL1	AXON	CONTRAS	protein_coding	Dll1	Dll1
514	ENSMUSG00000047248	514	C2cd3	C2CD3	AXON	CONTRAS	protein_coding	C2cd3	C2cd3
515	ENSMUSG00000036099	515	Vezt	VEZT	AXON	CONTRAS	protein_coding	Vezt	Vezt
516	ENSMUSG00000034771	516	Tle2	TLE2	AXON	CONTRAS	protein_coding	Tle2	Tle2
517	ENSMUSG00000085084	517	4930570G19Rik	4930570G19RIK	AXON	CONTRAS	processed_transcript	4930570G19Rik	4930570G19Rik
518	ENSMUSG00000028256	518	Odf2l	ODF2L	AXON	CONTRAS	protein_coding	Odf2l	Odf2l
519	ENSMUSG00000044312	519	Neurog3	NEUROG3	AXON	CONTRAS	protein_coding	Neurog3	Neurog3
520	ENSMUSG00000056515	520	Rab31	RAB31	AXON	CONTRAS	protein_coding	Rab31	Rab31
521	ENSMUSG00000102344	521	9430053O09Rik	9430053O09RIK	AXON	CONTRAS	TEC	RP23-239I17.5	RP23-239I17.5
522	ENSMUSG00000056854	522	Pou3f4	POU3F4	AXON	CONTRAS	protein_coding	Pou3f4	Pou3f4
523	ENSMUSG00000051354	523	Samd3	SAMD3	AXON	CONTRAS	protein_coding	Samd3	Samd3
524	ENSMUSG00000002006	524	Pdzd4	PDZD4	AXON	CONTRAS	protein_coding	Pdzd4	Pdzd4
525	ENSMUSG00000107962	525	Gm43980	GM43980	AXON	CONTRAS	NA	NA	NA
526	ENSMUSG00000085555	526	2610035F20Rik	2610035F20RIK	AXON	CONTRAS	processed_transcript	2610035F20Rik	2610035F20Rik
527	ENSMUSG00000090369	527	4933411K16Rik	4933411K16RIK	AXON	CONTRAS	protein_coding	4933411K16Rik	4933411K16Rik
528	ENSMUSG00000036885	528	Arhgef26	ARHGEF26	AXON	CONTRAS	protein_coding	Arhgef26	Arhgef26
529	ENSMUSG00000043909	529	Trp53bp1	TRP53BP1	AXON	CONTRAS	protein_coding	Trp53bp1	Trp53bp1
530	ENSMUSG00000033768	530	Nrxn2	NRXN2	AXON	CONTRAS	protein_coding	Nrxn2	Nrxn2
531	ENSMUSG00000033377	531	Palmd	PALMD	AXON	CONTRAS	protein_coding	Palmd	Palmd
532	ENSMUSG00000022914	532	Brwd1	BRWD1	AXON	CONTRAS	protein_coding	Brwd1	Brwd1
533	ENSMUSG00000103388	533	Gm37581	GM37581	AXON	CONTRAS	TEC	RP24-282D16.8	RP24-282D16.8
534	ENSMUSG00000022021	534	Diaph3	DIAPH3	AXON	CONTRAS	protein_coding	Diap3	Diap3
535	ENSMUSG00000091192	535	Sardhos	SARDHOS	AXON	CONTRAS	antisense	Sardhos	Sardhos
536	ENSMUSG00000019802	536	Sec63	SEC63	AXON	CONTRAS	protein_coding	Sec63	Sec63
537	ENSMUSG00000043943	537	Naalad2	NAALAD2	AXON	CONTRAS	protein_coding	Naalad2	Naalad2
538	ENSMUSG00000093511	538	NA	NA	AXON	CONTRAS	antisense	Gm20680	Gm20680
539	ENSMUSG00000107955	539	Gm44027	GM44027	AXON	CONTRAS	NA	NA	NA
540	ENSMUSG00000042594	540	Sh2b3	SH2B3	AXON	CONTRAS	protein_coding	Sh2b3	Sh2b3
541	ENSMUSG00000097991	541	Gm7656	GM7656	AXON	CONTRAS	processed_pseudogene	Gm7656	Gm7656
542	ENSMUSG00000092981	542	Mir5125	MIR5125	AXON	CONTRAS	miRNA	Mir5125	Mir5125
543	ENSMUSG00000037578	543	Pkd2l1	PKD2L1	AXON	CONTRAS	protein_coding	Pkd2l1	Pkd2l1
544	ENSMUSG00000020580	544	Rock2	ROCK2	AXON	CONTRAS	protein_coding	Rock2	Rock2
545	ENSMUSG00000050052	545	Tdrp	TDRP	AXON	CONTRAS	protein_coding	Tdrp	Tdrp
546	ENSMUSG00000000416	546	Cttnbp2	CTTNBP2	AXON	CONTRAS	protein_coding	Cttnbp2	Cttnbp2
547	ENSMUSG00000029833	547	Trim24	TRIM24	AXON	CONTRAS	protein_coding	Trim24	Trim24
548	ENSMUSG00000034910	548	Pygo1	PYGO1	AXON	CONTRAS	protein_coding	Pygo1	Pygo1
549	ENSMUSG00000028773	549	Fabp3	FABP3	AXON	CONTRAS	protein_coding	Fabp3	Fabp3
550	ENSMUSG00000015533	550	Itga2	ITGA2	AXON	CONTRAS	protein_coding	Itga2	Itga2
551	ENSMUSG00000043259	551	Fam13c	FAM13C	AXON	CONTRAS	protein_coding	Fam13c	Fam13c
552	ENSMUSG00000097524	552	NA	NA	AXON	CONTRAS	lincRNA	Gm26846	Gm26846
553	ENSMUSG00000028978	553	Nos3	NOS3	AXON	CONTRAS	protein_coding	Nos3	Nos3
554	ENSMUSG00000067787	554	Blcap	BLCAP	AXON	CONTRAS	protein_coding	Blcap	Blcap
555	ENSMUSG00000016520	555	Lnx2	LNX2	AXON	CONTRAS	protein_coding	Lnx2	Lnx2
556	ENSMUSG00000041954	556	Tnfrsf18	TNFRSF18	AXON	CONTRAS	protein_coding	Tnfrsf18	Tnfrsf18
557	ENSMUSG00000007783	557	Cpt1c	CPT1C	AXON	CONTRAS	protein_coding	Cpt1c	Cpt1c
558	ENSMUSG00000030854	558	Ptpn5	PTPN5	AXON	CONTRAS	protein_coding	Ptpn5	Ptpn5
559	ENSMUSG00000039219	559	Arid4b	ARID4B	AXON	CONTRAS	protein_coding	Arid4b	Arid4b
560	ENSMUSG00000027397	560	Slc20a1	SLC20A1	AXON	CONTRAS	protein_coding	Slc20a1	Slc20a1
561	ENSMUSG00000102749	561	Gm37598	GM37598	AXON	CONTRAS	TEC	RP23-268A12.3	RP23-268A12.3
562	ENSMUSG00000036792	562	Mbd5	MBD5	AXON	CONTRAS	protein_coding	Mbd5	Mbd5
563	ENSMUSG00000055024	563	Ep300	EP300	AXON	CONTRAS	protein_coding	Ep300	Ep300
564	ENSMUSG00000025255	564	Zfhx4	ZFHX4	AXON	CONTRAS	protein_coding	Zfhx4	Zfhx4
565	ENSMUSG00000034656	565	Cacna1a	CACNA1A	AXON	CONTRAS	protein_coding	Cacna1a	Cacna1a
566	ENSMUSG00000003847	566	Nfat5	NFAT5	AXON	CONTRAS	protein_coding	Nfat5	Nfat5
567	ENSMUSG00000025423	567	Pias2	PIAS2	AXON	CONTRAS	protein_coding	Pias2	Pias2
568	ENSMUSG00000075585	568	6330403L08Rik	6330403L08RIK	AXON	CONTRAS	lincRNA	6330403L08Rik	6330403L08Rik
569	ENSMUSG00000032228	569	Tcf12	TCF12	AXON	CONTRAS	protein_coding	Tcf12	Tcf12
570	ENSMUSG00000102222	570	Pcdhga10	PCDHGA10	AXON	CONTRAS	protein_coding	Pcdhga10	Pcdhga10
571	ENSMUSG00000064210	571	Ano6	ANO6	AXON	CONTRAS	protein_coding	Ano6	Ano6
572	ENSMUSG00000085731	572	Gm16229	GM16229	AXON	CONTRAS	antisense	Gm16229	Gm16229
573	ENSMUSG00000102664	573	Gm38380	GM38380	AXON	CONTRAS	TEC	RP23-125I14.1	RP23-125I14.1
