ranking	genes	Gene.name.1	Gene2	Gene.type
900	ENSMUSG00000031189	Aff2	AFF2	NA
901	ENSMUSG00000019828	Grm1	GRM1	NA
902	ENSMUSG00000030708	Dnajb13	DNAJB13	NA
903	ENSMUSG00000021978	Extl3	EXTL3	NA
904	ENSMUSG00000085323	9130410C08Rik	9130410C08RIK	NA
905	ENSMUSG00000025789	St8sia2	ST8SIA2	NA
906	ENSMUSG00000028643	Svbp	SVBP	NA
907	ENSMUSG00000040693	Slco4c1	SLCO4C1	NA
909	ENSMUSG00000026235	Epha4	EPHA4	NA
910	ENSMUSG00000097301	NA	NA	NA
911	ENSMUSG00000044646	Zbtb7c	ZBTB7C	NA
912	ENSMUSG00000038615	Nfe2l1	NFE2L1	NA
913	ENSMUSG00000039004	Bmp6	BMP6	NA
914	ENSMUSG00000085001	Rapgef4os2	RAPGEF4OS2	NA
915	ENSMUSG00000079363	Gbp4	GBP4	NA
916	ENSMUSG00000022829	Stxbp5l	STXBP5L	NA
917	ENSMUSG00000090534	Gm4675	GM4675	NA
918	ENSMUSG00000033460	Armcx1	ARMCX1	NA
919	ENSMUSG00000075224	Lrrc55	LRRC55	NA
920	ENSMUSG00000030235	Slco1c1	SLCO1C1	NA
921	ENSMUSG00000000317	Bcl6b	BCL6B	NA
922	ENSMUSG00000037735	2810032G03Rik	2810032G03RIK	NA
923	ENSMUSG00000036295	Lrrn3	LRRN3	NA
924	ENSMUSG00000027457	Snph	SNPH	NA
925	ENSMUSG00000075415	Fnbp1	FNBP1	NA
926	ENSMUSG00000043460	Elfn2	ELFN2	NA
927	ENSMUSG00000044667	Plppr4	PLPPR4	NA
928	ENSMUSG00000038235	F11r	F11R	NA
929	ENSMUSG00000096847	Tmem151b	TMEM151B	NA
930	ENSMUSG00000042787	Exog	EXOG	NA
931	ENSMUSG00000072875	Gpr27	GPR27	NA
932	ENSMUSG00000021806	Nid2	NID2	NA
933	ENSMUSG00000004633	Chn2	CHN2	NA
934	ENSMUSG00000081534	Slc48a1	SLC48A1	NA
935	ENSMUSG00000108599	Gm10616	GM10616	NA
936	ENSMUSG00000021028	Mbip	MBIP	NA
937	ENSMUSG00000033061	Resp18	RESP18	NA
938	ENSMUSG00000078234	Klhdc7a	KLHDC7A	NA
939	ENSMUSG00000031778	Cx3cl1	CX3CL1	NA
941	ENSMUSG00000031465	Angpt2	ANGPT2	NA
942	ENSMUSG00000001036	Epn2	EPN2	NA
943	ENSMUSG00000018920	Cxcl16	CXCL16	NA
944	ENSMUSG00000044068	Zrsr1	ZRSR1	NA
945	ENSMUSG00000024588	Fech	FECH	NA
946	ENSMUSG00000049047	Armcx3	ARMCX3	NA
947	ENSMUSG00000021893	Capn7	CAPN7	NA
948	ENSMUSG00000074793	Hspa12b	HSPA12B	NA
949	ENSMUSG00000064225	Paqr9	PAQR9	NA
950	ENSMUSG00000030711	Sult1a1	SULT1A1	NA
951	ENSMUSG00000097224	Gm26716	GM26716	NA
952	ENSMUSG00000021136	Smoc1	SMOC1	NA
953	ENSMUSG00000048240	Gng7	GNG7	NA
954	ENSMUSG00000035596	Mboat7	MBOAT7	NA
955	ENSMUSG00000031409	Tceal6	TCEAL6	NA
956	ENSMUSG00000024383	Map3k2	MAP3K2	NA
957	ENSMUSG00000032105	Pdzd3	PDZD3	NA
958	ENSMUSG00000058806	Col13a1	COL13A1	NA
959	ENSMUSG00000033208	S100b	S100B	NA
960	ENSMUSG00000036473	Tbc1d24	TBC1D24	NA
961	ENSMUSG00000092220	Gm20528	GM20528	NA
962	ENSMUSG00000015852	Fcrls	FCRLS	NA
963	ENSMUSG00000043467	Zbtb37	ZBTB37	NA
964	ENSMUSG00000026576	Atp1b1	ATP1B1	NA
965	ENSMUSG00000038156	Spon1	SPON1	NA
966	ENSMUSG00000025608	Podxl	PODXL	NA
967	ENSMUSG00000042246	Tmc7	TMC7	NA
968	ENSMUSG00000052353	Cemip	CEMIP	NA
969	ENSMUSG00000087056	Gm14004	GM14004	NA
970	ENSMUSG00000043372	Hexim2	HEXIM2	NA
971	ENSMUSG00000026959	Grin1	GRIN1	NA
972	ENSMUSG00000032479	Map4	MAP4	NA
973	ENSMUSG00000044864	Ankrd50	ANKRD50	NA
974	ENSMUSG00000021684	Pde8b	PDE8B	NA
975	ENSMUSG00000106734	Gm20559	GM20559	NA
976	ENSMUSG00000032489	Kif9	KIF9	NA
977	ENSMUSG00000058248	Kcnh1	KCNH1	NA
978	ENSMUSG00000022297	Fzd6	FZD6	NA
979	ENSMUSG00000066113	Adamtsl1	ADAMTSL1	NA
980	ENSMUSG00000021185	Dglucy	DGLUCY	NA
981	ENSMUSG00000108158	Gm44002	GM44002	NA
982	ENSMUSG00000042873	Lhfpl4	LHFPL4	NA
983	ENSMUSG00000087575	Gm12976	GM12976	NA
984	ENSMUSG00000063428	Ddo	DDO	NA
985	ENSMUSG00000036905	C1qb	C1QB	NA
986	ENSMUSG00000031299	Pdha1	PDHA1	NA
987	ENSMUSG00000074743	Thbd	THBD	NA
988	ENSMUSG00000029001	Fbxo44	FBXO44	NA
989	ENSMUSG00000097881	Celrr	CELRR	NA
991	ENSMUSG00000095253	Zfp799	ZFP799	NA
992	ENSMUSG00000091418	Gm3164	GM3164	NA
993	ENSMUSG00000024553	Galr1	GALR1	NA
994	ENSMUSG00000038473	Nos1ap	NOS1AP	NA
995	ENSMUSG00000021706	Zfyve16	ZFYVE16	NA
996	ENSMUSG00000021830	Txndc16	TXNDC16	NA
997	ENSMUSG00000021933	Gucy1b2	GUCY1B2	NA
998	ENSMUSG00000030109	Slc6a12	SLC6A12	NA
999	ENSMUSG00000029657	Hsph1	HSPH1	NA
1000	ENSMUSG00000013523	Bcas1	BCAS1	NA
1001	ENSMUSG00000052234	Epx	EPX	NA
1002	ENSMUSG00000031847	1700030J22Rik	1700030J22RIK	NA
1003	ENSMUSG00000021750	Fam107a	FAM107A	NA
1004	ENSMUSG00000002771	Grin2d	GRIN2D	NA
1006	ENSMUSG00000040387	Klhl32	KLHL32	NA
1007	ENSMUSG00000040102	Klhl42	KLHL42	NA
1008	ENSMUSG00000020396	Nefh	NEFH	NA
1009	ENSMUSG00000048794	Cfap100	CFAP100	NA
1010	ENSMUSG00000102697	Pcdhac2	PCDHAC2	NA
1011	ENSMUSG00000082160	Gm11578	GM11578	NA
1012	ENSMUSG00000025006	Sorbs1	SORBS1	NA
1013	ENSMUSG00000100192	Gm29587	GM29587	NA
1014	ENSMUSG00000042228	Lyn	LYN	NA
1015	ENSMUSG00000021675	F2rl2	F2RL2	NA
1016	ENSMUSG00000105845	Gm42808	GM42808	NA
1017	ENSMUSG00000056158	Car10	CAR10	NA
1018	ENSMUSG00000021518	Ptdss1	PTDSS1	NA
1019	ENSMUSG00000029103	Lrpap1	LRPAP1	NA
1020	ENSMUSG00000020660	Pomc	POMC	NA
1021	ENSMUSG00000103160	C130012C08Rik	C130012C08RIK	NA
1022	ENSMUSG00000038286	Bphl	BPHL	NA
1023	ENSMUSG00000042116	Vwa1	VWA1	NA
1024	ENSMUSG00000037605	Adgrl3	ADGRL3	NA
1025	ENSMUSG00000030787	Lyve1	LYVE1	NA
1026	ENSMUSG00000026546	Cfap45	CFAP45	NA
1027	ENSMUSG00000000296	Tpd52l1	TPD52L1	NA
1028	ENSMUSG00000021338	Carmil1	CARMIL1	NA
1029	ENSMUSG00000036158	Prickle1	PRICKLE1	NA
1030	ENSMUSG00000043885	Slc36a4	SLC36A4	NA
1031	ENSMUSG00000053477	Tcf4	TCF4	NA
1032	ENSMUSG00000024743	Syt7	SYT7	NA
1033	ENSMUSG00000017412	Cacnb4	CACNB4	NA
1034	ENSMUSG00000066720	Cldn9	CLDN9	NA
1035	ENSMUSG00000107479	2610300M13Rik	2610300M13RIK	NA
1036	ENSMUSG00000041225	Arhgap12	ARHGAP12	NA
1037	ENSMUSG00000097045	NA	NA	NA
1038	ENSMUSG00000014164	Klhl3	KLHL3	NA
1039	ENSMUSG00000104002	Gm38336	GM38336	NA
1040	ENSMUSG00000039543	Cfap70	CFAP70	NA
1041	ENSMUSG00000038188	Scarf1	SCARF1	NA
1042	ENSMUSG00000073405	H2-T-ps	H2-T-PS	NA
1043	ENSMUSG00000026179	Pnkd	PNKD	NA
1044	ENSMUSG00000054939	Zfp174	ZFP174	NA
1045	ENSMUSG00000024958	Gpr137	GPR137	NA
1046	ENSMUSG00000054404	Slfn5	SLFN5	NA
1047	ENSMUSG00000018893	Mb	MB	NA
1048	ENSMUSG00000009687	Fxyd5	FXYD5	NA
1049	ENSMUSG00000031765	Mt1	MT1	NA
1050	ENSMUSG00000041378	Cldn5	CLDN5	NA
1051	ENSMUSG00000032289	Thsd4	THSD4	NA
1052	ENSMUSG00000098098	Bvht	BVHT	NA
1053	ENSMUSG00000024811	Tnks2	TNKS2	NA
1054	ENSMUSG00000039375	Wdr17	WDR17	NA
1055	ENSMUSG00000022223	Sdr39u1	SDR39U1	NA
1056	ENSMUSG00000044167	Foxo1	FOXO1	NA
1057	ENSMUSG00000059482	2610301B20Rik	2610301B20RIK	NA
1058	ENSMUSG00000053395	Cacng8	CACNG8	NA
1059	ENSMUSG00000044149	Nkrf	NKRF	NA
1060	ENSMUSG00000005802	Slc30a4	SLC30A4	NA
1061	ENSMUSG00000028076	Cd1d1	CD1D1	NA
1062	ENSMUSG00000030946	Lhpp	LHPP	NA
1063	ENSMUSG00000089706	B230216N24Rik	B230216N24RIK	NA
1064	ENSMUSG00000029055	Plch2	PLCH2	NA
1065	ENSMUSG00000055320	Tead1	TEAD1	NA
1066	ENSMUSG00000047502	Mroh7	MROH7	NA
1067	ENSMUSG00000048701	Ccdc6	CCDC6	NA
1068	ENSMUSG00000060530	A930017M01Rik	A930017M01RIK	NA
1069	ENSMUSG00000032741	Tpcn1	TPCN1	NA
1071	ENSMUSG00000028136	Snx27	SNX27	NA
1072	ENSMUSG00000070076	Mir127	MIR127	NA
1073	ENSMUSG00000001555	Fkbp10	FKBP10	NA
1074	ENSMUSG00000029919	Hpgds	HPGDS	NA
1075	ENSMUSG00000054162	Spock3	SPOCK3	NA
1076	ENSMUSG00000102538	Gm37230	GM37230	NA
1077	ENSMUSG00000063239	Grm4	GRM4	NA
1078	ENSMUSG00000085886	D030047H15Rik	D030047H15RIK	NA
1079	ENSMUSG00000026024	Als2	ALS2	NA
1080	ENSMUSG00000028655	Mfsd2a	MFSD2A	NA
1081	ENSMUSG00000031480	Thsd1	THSD1	NA
1082	ENSMUSG00000005299	Letm1	LETM1	NA
1083	ENSMUSG00000021998	Lcp1	LCP1	NA
1084	ENSMUSG00000026841	Fibcd1	FIBCD1	NA
1085	ENSMUSG00000001946	Esam	ESAM	NA
1086	ENSMUSG00000020092	Pald1	PALD1	NA
1087	ENSMUSG00000026443	Lrrn2	LRRN2	NA
1088	ENSMUSG00000035900	Gramd4	GRAMD4	NA
1089	ENSMUSG00000000631	Myo18a	MYO18A	NA
1090	ENSMUSG00000026322	Htr4	HTR4	NA
1091	ENSMUSG00000045201	Lrrc3b	LRRC3B	NA
1092	ENSMUSG00000032769	Trpa1	TRPA1	NA
1093	ENSMUSG00000013076	Amotl1	AMOTL1	NA
1094	ENSMUSG00000026204	Ptprn	PTPRN	NA
1095	ENSMUSG00000026409	Pfkfb2	PFKFB2	NA
1096	ENSMUSG00000073424	Cyp4f15	CYP4F15	NA
1097	ENSMUSG00000037685	Atp8a1	ATP8A1	NA
1098	ENSMUSG00000008730	Hipk1	HIPK1	NA
1099	ENSMUSG00000022935	Grik1	GRIK1	NA
1100	ENSMUSG00000032089	Il10ra	IL10RA	NA
1101	ENSMUSG00000093536	Smim17	SMIM17	NA
1102	ENSMUSG00000028803	Nipal3	NIPAL3	NA
1103	ENSMUSG00000073599	Ecscr	ECSCR	NA
1104	ENSMUSG00000018008	Cyth4	CYTH4	NA
1105	ENSMUSG00000020143	Dock2	DOCK2	NA
1106	ENSMUSG00000019302	Atp6v0a1	ATP6V0A1	NA
1107	ENSMUSG00000028243	Ubxn2b	UBXN2B	NA
1108	ENSMUSG00000031303	Map3k15	MAP3K15	NA
1109	ENSMUSG00000040140	Tdrd6	TDRD6	NA
1110	ENSMUSG00000022898	Vps26c	VPS26C	NA
1111	ENSMUSG00000015812	Gnrh1	GNRH1	NA
1112	ENSMUSG00000038370	Pcp4l1	PCP4L1	NA
1114	ENSMUSG00000037652	Phc3	PHC3	NA
1115	ENSMUSG00000037683	Armc3	ARMC3	NA
1116	ENSMUSG00000045257	Morn2	MORN2	NA
1117	ENSMUSG00000034066	Farp2	FARP2	NA
1118	ENSMUSG00000026154	Sdhaf4	SDHAF4	NA
1119	ENSMUSG00000052155	Acvr2a	ACVR2A	NA
1120	ENSMUSG00000044933	Sstr3	SSTR3	NA
1121	ENSMUSG00000054720	Lrrc8c	LRRC8C	NA
1122	ENSMUSG00000044296	Zfp879	ZFP879	NA
1123	ENSMUSG00000010803	Gabra1	GABRA1	NA
1124	ENSMUSG00000000276	Dgke	DGKE	NA
1125	ENSMUSG00000020878	Lrrc46	LRRC46	NA
1126	ENSMUSG00000001025	S100a6	S100A6	NA
1127	ENSMUSG00000086424	Gm15569	GM15569	NA
1128	ENSMUSG00000022000	Zc3h13	ZC3H13	NA
1129	ENSMUSG00000045761	Togaram2	TOGARAM2	NA
1130	ENSMUSG00000089889	0610040B10Rik	0610040B10RIK	NA
1131	ENSMUSG00000037499	Nenf	NENF	NA
1132	ENSMUSG00000017679	Ttpal	TTPAL	NA
1133	ENSMUSG00000019791	Hint3	HINT3	NA
1134	ENSMUSG00000056185	Snx32	SNX32	NA
1135	ENSMUSG00000102166	Gm36947	GM36947	NA
1136	ENSMUSG00000103044	Gm37307	GM37307	NA
1137	ENSMUSG00000021464	Ror2	ROR2	NA
1138	ENSMUSG00000097638	Carlr	CARLR	NA
1140	ENSMUSG00000029571	Tmem106b	TMEM106B	NA
1141	ENSMUSG00000002324	Rec8	REC8	NA
1142	ENSMUSG00000053985	Zfp14	ZFP14	NA
1143	ENSMUSG00000030731	Syt3	SYT3	NA
1144	ENSMUSG00000042644	Itpr3	ITPR3	NA
1145	ENSMUSG00000026042	Col5a2	COL5A2	NA
1146	ENSMUSG00000045967	Gpr158	GPR158	NA
1147	ENSMUSG00000032641	Gpr19	GPR19	NA
1148	ENSMUSG00000044258	Ctla2a	CTLA2A	NA
1149	ENSMUSG00000000632	Sez6	SEZ6	NA
1150	ENSMUSG00000002111	Spi1	SPI1	NA
1151	ENSMUSG00000050010	Shisa3	SHISA3	NA
1152	ENSMUSG00000048355	Arxes1	ARXES1	NA
1153	ENSMUSG00000069874	Irgm2	IRGM2	NA
1154	ENSMUSG00000034557	Zfyve9	ZFYVE9	NA
1155	ENSMUSG00000037703	Lzts3	LZTS3	NA
1156	ENSMUSG00000062232	Rapgef2	RAPGEF2	NA
1157	ENSMUSG00000039715	Dync2i2	DYNC2I2	NA
1158	ENSMUSG00000017485	Top2b	TOP2B	NA
1159	ENSMUSG00000067430	Zfp763	ZFP763	NA
1160	ENSMUSG00000009614	Sardh	SARDH	NA
1161	ENSMUSG00000046717	Igbp1b	IGBP1B	NA
1162	ENSMUSG00000035623	Rsf1	RSF1	NA
1163	ENSMUSG00000056427	Slit3	SLIT3	NA
1164	ENSMUSG00000032827	Ppp1r9a	PPP1R9A	NA
1165	ENSMUSG00000038349	Plcl1	PLCL1	NA
1166	ENSMUSG00000049521	Cdc42ep1	CDC42EP1	NA
1167	ENSMUSG00000035429	Ptprh	PTPRH	NA
1168	ENSMUSG00000068062	Gm14164	GM14164	NA
1169	ENSMUSG00000030306	Tmtc1	TMTC1	NA
1170	ENSMUSG00000086691	Gm15432	GM15432	NA
1171	ENSMUSG00000045709	Smkr-ps	SMKR-PS	NA
1172	ENSMUSG00000048040	Arxes2	ARXES2	NA
1173	ENSMUSG00000081026	Gm11855	GM11855	NA
1174	ENSMUSG00000044231	Nhlrc1	NHLRC1	NA
1175	ENSMUSG00000085412	Halr1	HALR1	NA
1176	ENSMUSG00000089898	Gm14199	GM14199	NA
1177	ENSMUSG00000010044	Zmynd10	ZMYND10	NA
1178	ENSMUSG00000040600	Eps8l3	EPS8L3	NA
1179	ENSMUSG00000007989	Fzd3	FZD3	NA
1180	ENSMUSG00000104574	Gm42836	GM42836	NA
1181	ENSMUSG00000031875	Cmtm3	CMTM3	NA
1182	ENSMUSG00000054196	Cthrc1	CTHRC1	NA
1183	ENSMUSG00000082420	Gm6517	GM6517	NA
1184	ENSMUSG00000074517	Gm10710	GM10710	NA
1185	ENSMUSG00000020704	Asic2	ASIC2	NA
1186	ENSMUSG00000000125	Wnt3	WNT3	NA
1187	ENSMUSG00000038894	Irs2	IRS2	NA
1188	ENSMUSG00000090237	Gm16308	GM16308	NA
1189	ENSMUSG00000027962	Vcam1	VCAM1	NA
1190	ENSMUSG00000054659	Pm20d2	PM20D2	NA
1191	ENSMUSG00000022744	Cldnd1	CLDND1	NA
1192	ENSMUSG00000046822	Slc39a3	SLC39A3	NA
1193	ENSMUSG00000034211	Mrps17	MRPS17	NA
1194	ENSMUSG00000074203	G430095P16Rik	G430095P16RIK	NA
1195	ENSMUSG00000017692	Rhbdl3	RHBDL3	NA
1196	ENSMUSG00000032017	Grik4	GRIK4	NA
1197	ENSMUSG00000020154	Ptprb	PTPRB	NA
1198	ENSMUSG00000074916	Chst14	CHST14	NA
1199	ENSMUSG00000041035	Gm17018	GM17018	NA
1200	ENSMUSG00000051499	Zfp786	ZFP786	NA
1201	ENSMUSG00000024210	Ip6k3	IP6K3	NA
1202	ENSMUSG00000025647	Shisa5	SHISA5	NA
1203	ENSMUSG00000025776	Crispld1	CRISPLD1	NA
1204	ENSMUSG00000036902	Neto2	NETO2	NA
1205	ENSMUSG00000070304	Scn2b	SCN2B	NA
1206	ENSMUSG00000038855	Itpkb	ITPKB	NA
1207	ENSMUSG00000031376	Atp2b3	ATP2B3	NA
1208	ENSMUSG00000078670	Fam174b	FAM174B	NA
1209	ENSMUSG00000003273	Car11	CAR11	NA
1210	ENSMUSG00000074417	Gm14548	GM14548	NA
1211	ENSMUSG00000031365	Zfp275	ZFP275	NA
1212	ENSMUSG00000099717	Gm9451	GM9451	NA
1213	ENSMUSG00000024697	Gna14	GNA14	NA
1214	ENSMUSG00000075719	Gm23741	GM23741	NA
1215	ENSMUSG00000020605	Hs1bp3	HS1BP3	NA
1216	ENSMUSG00000053469	Tg	TG	NA
1217	ENSMUSG00000049241	Hcar1	HCAR1	NA
1218	ENSMUSG00000074939	Chrm5	CHRM5	NA
1219	ENSMUSG00000032656	Marchf3	MARCHF3	NA
1220	ENSMUSG00000002345	Borcs8	BORCS8	NA
1221	ENSMUSG00000016386	Mpped2	MPPED2	NA
1222	ENSMUSG00000052726	Kcnt2	KCNT2	NA
1223	ENSMUSG00000033526	Ppip5k1	PPIP5K1	NA
1224	ENSMUSG00000061186	Sfmbt2	SFMBT2	NA
1225	ENSMUSG00000034850	Tmem127	TMEM127	NA
1226	ENSMUSG00000021213	Akr1c13	AKR1C13	NA
1227	ENSMUSG00000052865	Gm13619	GM13619	NA
1228	ENSMUSG00000060380	C030014I23Rik	C030014I23RIK	NA
1229	ENSMUSG00000027994	Mcub	MCUB	NA
1230	ENSMUSG00000034755	Pcdh11x	PCDH11X	NA
1231	ENSMUSG00000032131	Abcg4	ABCG4	NA
1232	ENSMUSG00000059277	R74862	R74862	NA
1233	ENSMUSG00000014601	Strip1	STRIP1	NA
1234	ENSMUSG00000042363	Lgalsl	LGALSL	NA
1235	ENSMUSG00000066090	Insl5	INSL5	NA
1236	ENSMUSG00000086119	Gm2415	GM2415	NA
1237	ENSMUSG00000039372	Marchf4	MARCHF4	NA
1238	ENSMUSG00000040740	Slc25a34	SLC25A34	NA
1239	ENSMUSG00000103255	Pcdhac1	PCDHAC1	NA
1240	ENSMUSG00000040548	Tex2	TEX2	NA
1242	ENSMUSG00000040520	Manea	MANEA	NA
1243	ENSMUSG00000041809	Efhc1	EFHC1	NA
1244	ENSMUSG00000073514	Dok6	DOK6	NA
1245	ENSMUSG00000033004	Mycbp2	MYCBP2	NA
1246	ENSMUSG00000053897	Slc39a8	SLC39A8	NA
1247	ENSMUSG00000106791	4930553P18Rik	4930553P18RIK	NA
1248	ENSMUSG00000046714	Foxc2	FOXC2	NA
1249	ENSMUSG00000038712	Mindy1	MINDY1	NA
1250	ENSMUSG00000026547	Tagln2	TAGLN2	NA
1251	ENSMUSG00000012076	Brms1l	BRMS1L	NA
1252	ENSMUSG00000085399	Foxd2os	FOXD2OS	NA
1253	ENSMUSG00000038602	Slc35f1	SLC35F1	NA
1254	ENSMUSG00000079061	Gm11042	GM11042	NA
1255	ENSMUSG00000020620	Abca8b	ABCA8B	NA
1256	ENSMUSG00000016940	Kctd2	KCTD2	NA
1257	ENSMUSG00000017664	Slc35c2	SLC35C2	NA
1258	ENSMUSG00000042271	Nxt2	NXT2	NA
1259	ENSMUSG00000102352	Gm38346	GM38346	NA
1261	ENSMUSG00000033149	Phldb2	PHLDB2	NA
1262	ENSMUSG00000070366	Plpp4	PLPP4	NA
1263	ENSMUSG00000087095	Emx2os	EMX2OS	NA
1264	ENSMUSG00000037940	Inpp4b	INPP4B	NA
1265	ENSMUSG00000078442	Ccdc105	CCDC105	NA
1266	ENSMUSG00000007594	Hapln4	HAPLN4	NA
1267	ENSMUSG00000020811	Wscd1	WSCD1	NA
1268	ENSMUSG00000056592	Zfp658	ZFP658	NA
1269	ENSMUSG00000020682	Mmp28	MMP28	NA
1270	ENSMUSG00000032773	Chrm1	CHRM1	NA
1271	ENSMUSG00000029648	Flt1	FLT1	NA
1272	ENSMUSG00000039530	NA	NA	NA
1273	ENSMUSG00000098472	NA	NA	NA
1274	ENSMUSG00000026853	Crat	CRAT	NA
1275	ENSMUSG00000071719	Tmem28	TMEM28	NA
1276	ENSMUSG00000098266	NA	NA	NA
1277	ENSMUSG00000028558	Calr4	CALR4	NA
1278	ENSMUSG00000044364	Tmem74b	TMEM74B	NA
1279	ENSMUSG00000037014	Sstr4	SSTR4	NA
1280	ENSMUSG00000051495	Irf2bp2	IRF2BP2	NA
1281	ENSMUSG00000042793	Lgr6	LGR6	NA
1282	ENSMUSG00000072723	Gm10044	GM10044	NA
1283	ENSMUSG00000057914	Cacnb2	CACNB2	NA
1284	ENSMUSG00000006784	Odad4	ODAD4	NA
1285	ENSMUSG00000034732	Pabpc5	PABPC5	NA
1286	ENSMUSG00000027646	Src	SRC	NA
1287	ENSMUSG00000048281	Dleu7	DLEU7	NA
1288	ENSMUSG00000036186	Dipk1b	DIPK1B	NA
1289	ENSMUSG00000034040	Galnt17	GALNT17	NA
1290	ENSMUSG00000025512	Chid1	CHID1	NA
1291	ENSMUSG00000030889	Vwa3a	VWA3A	NA
1292	ENSMUSG00000075273	Ttc30b	TTC30B	NA
1293	ENSMUSG00000012640	Zfp715	ZFP715	NA
1294	ENSMUSG00000050211	Pla2g4e	PLA2G4E	NA
1295	ENSMUSG00000032244	Fem1b	FEM1B	NA
1296	ENSMUSG00000066152	Slc31a2	SLC31A2	NA
1297	ENSMUSG00000046523	Kctd4	KCTD4	NA
1298	ENSMUSG00000026556	Vangl2	VANGL2	NA
1299	ENSMUSG00000091786	Gm8425	GM8425	NA
1300	ENSMUSG00000045404	Kcnk13	KCNK13	NA
1301	ENSMUSG00000019843	Fyn	FYN	NA
1302	ENSMUSG00000020151	Ptprr	PTPRR	NA
1303	ENSMUSG00000044921	Rassf9	RASSF9	NA
1304	ENSMUSG00000021895	Arhgef3	ARHGEF3	NA
1305	ENSMUSG00000069892	9930111J21Rik2	9930111J21RIK2	NA
1306	ENSMUSG00000000058	Cav2	CAV2	NA
1307	ENSMUSG00000074259	Gramd2	GRAMD2	NA
1308	ENSMUSG00000088025	Rprl3	RPRL3	NA
1309	ENSMUSG00000101014	Gm28289	GM28289	NA
1310	ENSMUSG00000044505	Lingo4	LINGO4	NA
1311	ENSMUSG00000009585	Apobec3	APOBEC3	NA
1312	ENSMUSG00000043671	Dpy19l3	DPY19L3	NA
1313	ENSMUSG00000108310	Gm44712	GM44712	NA
1314	ENSMUSG00000001441	Npepps	NPEPPS	NA
1315	ENSMUSG00000093921	NA	NA	NA
1316	ENSMUSG00000047692	4930533K18Rik	4930533K18RIK	NA
1317	ENSMUSG00000030247	Kcnj8	KCNJ8	NA
1318	ENSMUSG00000056752	Dnah9	DNAH9	NA
1319	ENSMUSG00000006464	Bbs1	BBS1	NA
1320	ENSMUSG00000060147	Serpinb6a	SERPINB6A	NA
1321	ENSMUSG00000024985	Tcf7l2	TCF7L2	NA
1322	ENSMUSG00000026814	Eng	ENG	NA
1323	ENSMUSG00000070469	Adamtsl3	ADAMTSL3	NA
1324	ENSMUSG00000020375	Rufy1	RUFY1	NA
1325	ENSMUSG00000059495	Arhgef12	ARHGEF12	NA
1326	ENSMUSG00000020614	Fam20a	FAM20A	NA
1327	ENSMUSG00000085067	Gm15631	GM15631	NA
1328	ENSMUSG00000033083	Tbc1d4	TBC1D4	NA
1329	ENSMUSG00000059689	Zfp637	ZFP637	NA
1330	ENSMUSG00000034911	Ushbp1	USHBP1	NA
1331	ENSMUSG00000052229	Gpr17	GPR17	NA
1332	ENSMUSG00000059475	Zfp426	ZFP426	NA
1333	ENSMUSG00000000409	Lck	LCK	NA
1334	ENSMUSG00000084754	Gm12532	GM12532	NA
1335	ENSMUSG00000025551	Fgf14	FGF14	NA
1336	ENSMUSG00000022884	Eif4a2	EIF4A2	NA
1337	ENSMUSG00000037999	Arap2	ARAP2	NA
1338	ENSMUSG00000058240	Cryzl1	CRYZL1	NA
1339	ENSMUSG00000021457	Syk	SYK	NA
1340	ENSMUSG00000040536	Necab1	NECAB1	NA
1341	ENSMUSG00000032850	Rnft2	RNFT2	NA
1342	ENSMUSG00000085398	4931406G06Rik	4931406G06RIK	NA
1343	ENSMUSG00000089857	Zfp882	ZFP882	NA
1344	ENSMUSG00000051727	Kctd14	KCTD14	NA
1345	ENSMUSG00000020437	Myo1g	MYO1G	NA
1346	ENSMUSG00000038648	Creb3l2	CREB3L2	NA
1347	ENSMUSG00000028173	Wls	WLS	NA
1348	ENSMUSG00000024462	Gabbr1	GABBR1	NA
1349	ENSMUSG00000033871	Ppargc1b	PPARGC1B	NA
1350	ENSMUSG00000022231	Sema5a	SEMA5A	NA
1351	ENSMUSG00000056014	A430033K04Rik	A430033K04RIK	NA
1352	ENSMUSG00000032599	Ip6k2	IP6K2	NA
1353	ENSMUSG00000000627	Sema4f	SEMA4F	NA
1354	ENSMUSG00000097845	A230020J21Rik	A230020J21RIK	NA
1355	ENSMUSG00000008540	Mgst1	MGST1	NA
1356	ENSMUSG00000062372	Otof	OTOF	NA
1357	ENSMUSG00000027864	Ptgfrn	PTGFRN	NA
1358	ENSMUSG00000105710	Gm43859	GM43859	NA
1359	ENSMUSG00000026650	Meig1	MEIG1	NA
1360	ENSMUSG00000068762	Gstm6	GSTM6	NA
1361	ENSMUSG00000039706	Ldb2	LDB2	NA
1362	ENSMUSG00000060791	Gmfg	GMFG	NA
1363	ENSMUSG00000106891	Gm43460	GM43460	NA
1364	ENSMUSG00000087565	Gm14662	GM14662	NA
1365	ENSMUSG00000028532	Cachd1	CACHD1	NA
1366	ENSMUSG00000032324	Tspan3	TSPAN3	NA
1367	ENSMUSG00000107919	Gm7946	GM7946	NA
1368	ENSMUSG00000003411	Rab3b	RAB3B	NA
1369	ENSMUSG00000000275	Trim25	TRIM25	NA
1370	ENSMUSG00000024247	Pkdcc	PKDCC	NA
1371	ENSMUSG00000063047	Zfp780b	ZFP780B	NA
1372	ENSMUSG00000044164	Rnf182	RNF182	NA
1373	ENSMUSG00000032346	Ooep	OOEP	NA
