ranking	genes	Gene.name.1	Gene2	Gene.type
531	ENSMUSG00000019846	Lama4	LAMA4	NA
532	ENSMUSG00000097610	A930012L18Rik	A930012L18RIK	NA
533	ENSMUSG00000102938	NA	NA	NA
534	ENSMUSG00000086712	Mexis	MEXIS	NA
535	ENSMUSG00000037852	Cpe	CPE	NA
536	ENSMUSG00000017631	Abr	ABR	NA
537	ENSMUSG00000028954	Nub1	NUB1	NA
538	ENSMUSG00000047259	Mc4r	MC4R	NA
539	ENSMUSG00000047497	Adamts12	ADAMTS12	NA
540	ENSMUSG00000034258	Flvcr2	FLVCR2	NA
541	ENSMUSG00000033453	Adamts15	ADAMTS15	NA
542	ENSMUSG00000025887	Casp12	CASP12	NA
543	ENSMUSG00000062190	Lancl2	LANCL2	NA
544	ENSMUSG00000056529	Ptafr	PTAFR	NA
545	ENSMUSG00000034751	Mast4	MAST4	NA
546	ENSMUSG00000020884	Asgr1	ASGR1	NA
547	ENSMUSG00000043301	Kcnj6	KCNJ6	NA
548	ENSMUSG00000078952	Lncenc1	LNCENC1	NA
549	ENSMUSG00000085998	AW822252	AW822252	NA
550	ENSMUSG00000032527	Pccb	PCCB	NA
551	ENSMUSG00000085083	Gm11615	GM11615	NA
552	ENSMUSG00000089715	Cbx6	CBX6	NA
553	ENSMUSG00000020601	Trib2	TRIB2	NA
554	ENSMUSG00000090019	Gimap1	GIMAP1	NA
555	ENSMUSG00000026586	Prrx1	PRRX1	NA
556	ENSMUSG00000038365	Fbxo25	FBXO25	NA
557	ENSMUSG00000038094	Atp13a4	ATP13A4	NA
558	ENSMUSG00000031165	Was	WAS	NA
559	ENSMUSG00000063077	Kif1b	KIF1B	NA
560	ENSMUSG00000030451	Herc2	HERC2	NA
561	ENSMUSG00000106963	Gm8675	GM8675	NA
562	ENSMUSG00000029851	Tcaf2	TCAF2	NA
563	ENSMUSG00000020473	Aebp1	AEBP1	NA
564	ENSMUSG00000049225	Pdp1	PDP1	NA
565	ENSMUSG00000089129	NA	NA	NA
566	ENSMUSG00000029306	Ibsp	IBSP	NA
567	ENSMUSG00000002900	Lamb1	LAMB1	NA
568	ENSMUSG00000030850	Ate1	ATE1	NA
569	ENSMUSG00000052459	Atp6v1a	ATP6V1A	NA
570	ENSMUSG00000005268	Prlr	PRLR	NA
571	ENSMUSG00000050965	Prkca	PRKCA	NA
573	ENSMUSG00000069763	Tmem100	TMEM100	NA
574	ENSMUSG00000028583	Pdpn	PDPN	NA
575	ENSMUSG00000105975	Gm9831	GM9831	NA
576	ENSMUSG00000038366	Lasp1	LASP1	NA
577	ENSMUSG00000031486	Adgra2	ADGRA2	NA
578	ENSMUSG00000032680	6820408C15Rik	6820408C15RIK	NA
579	ENSMUSG00000036966	Spryd3	SPRYD3	NA
580	ENSMUSG00000026674	Ddr2	DDR2	NA
581	ENSMUSG00000000538	Tom1l2	TOM1L2	NA
583	ENSMUSG00000057880	Abat	ABAT	NA
584	ENSMUSG00000041797	Abca9	ABCA9	NA
585	ENSMUSG00000026587	Astn1	ASTN1	NA
586	ENSMUSG00000032812	Arap1	ARAP1	NA
587	ENSMUSG00000090439	Gm17455	GM17455	NA
588	ENSMUSG00000031447	Lamp1	LAMP1	NA
589	ENSMUSG00000098158	Gm4804	GM4804	NA
590	ENSMUSG00000026181	Ppm1f	PPM1F	NA
591	ENSMUSG00000050315	Synpo2	SYNPO2	NA
592	ENSMUSG00000021540	Smad5	SMAD5	NA
593	ENSMUSG00000020598	Nrcam	NRCAM	NA
594	ENSMUSG00000032186	Tmod2	TMOD2	NA
595	ENSMUSG00000048373	Fgfbp1	FGFBP1	NA
596	ENSMUSG00000068036	Afdn	AFDN	NA
597	ENSMUSG00000025089	Gfra1	GFRA1	NA
598	ENSMUSG00000041037	Irgq	IRGQ	NA
599	ENSMUSG00000050855	Zfp940	ZFP940	NA
600	ENSMUSG00000024300	Myo1f	MYO1F	NA
601	ENSMUSG00000028127	Abcd3	ABCD3	NA
602	ENSMUSG00000039092	Sptlc3	SPTLC3	NA
603	ENSMUSG00000048264	Dip2c	DIP2C	NA
